Job_Name,Organization,Location,Skillset
Data Scientist/statistician Analyst for Data Semantics,DATA SEMANTICS PRIVATE LIMITED,Bengaluru(Indira Nagar),"['sql', ' machine learning', ' python', ' r', ' algorithms', ' java', ' sas...', 'sql', ' machine learning', ' python', ' r', ' algorithms', ' java', ' sas...']"
Data Scientist,Societe Generale Global Solution Centre,Bengaluru,"['tools', ' monitoring', ' enterprise applications', ' ideas', ' data collection', ' machine...', 'tools', ' monitoring', ' enterprise applications', ' ideas', ' data collection', ' machine...']"
Senior Principal - Data Scientist,Accenture Solutions Pvt Ltd,Bengaluru,"['advanced analytics', ' project execution', ' team management', ' core data...', 'advanced analytics', ' project execution', ' team management', ' core data...']"
Machine Learning Engineer / Data Scientist,Idexcel Technologies Private Limited,"Bengaluru, Hyderabad, Pune","['machine learning', ' artificial intelligence', ' nlp', ' matlab', ' python', ' java...', 'machine learning', ' artificial intelligence', ' nlp', ' matlab', ' python', ' java...']"
Data Scientist,HireHappi,"Delhi NCR, Bengaluru","['r', ' python', ' modelling', ' modeling', ' visualization', ' dashboards', ' tableau...', 'r', ' python', ' modelling', ' modeling', ' visualization', ' dashboards', ' tableau...']"
RPA- Data Scientist / Machine Learning Specialists - Premier Institute,KPMG,Bengaluru,"['hadoop', ' natural language processing', ' hive', ' hdfs', ' impala', ' r', ' python...', 'hadoop', ' natural language processing', ' hive', ' hdfs', ' impala', ' r', ' python...']"
Data Scientist,I Mind Your Business,Bengaluru,"['data science', ' nosql', ' information retrieval', ' machine learning', ' python', ' sql...', 'data science', ' nosql', ' information retrieval', ' machine learning', ' python', ' sql...']"
DATA Scientist / R Programmer,Atria BioSciences,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Alappuzha, Noida, Trivandrum","['clinical data', ' spss', ' python', ' r', ' sas', ' tableau', ' data analytics...', 'clinical data', ' spss', ' python', ' r', ' sas', ' tableau', ' data analytics...']"
Data Scientist - Intelligence Platform - R/python,Big IT,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Coimbatore, Kochi, Vijayawada","['python', ' shell scripting', ' large scale data', ' no sql databases...', 'python', ' shell scripting', ' large scale data', ' no sql databases...']"
"Data Scientist , Apple Care Online Support",Apple INC,Bengaluru,"['customer support', ' data integrity', ' web content', ' machine learning...', 'customer support', ' data integrity', ' web content', ' machine learning...']"
Associate Principal - Data Scientist,Accenture Solutions Pvt Ltd,Bengaluru,"['advanced analytics', ' open source', ' machine learning', ' fundamental research...', 'advanced analytics', ' open source', ' machine learning', ' fundamental research...']"
Specialist - Data Scientist - 9,Accenture,Bengaluru,"['service', ' machine learning', ' fundamental research', ' project execution...', 'service', ' machine learning', ' fundamental research', ' project execution...']"
Data Scientist,Datacogin - Startup,Bengaluru,"['machine learning', ' power user', ' python', ' php', ' data mining...', 'machine learning', ' power user', ' python', ' php', ' data mining...']"
Machine Learning Data Scientist / Analyst with Bigdata Experience,Freelancer Sindhu,Bengaluru,"['predictive modeling', ' analytics', ' data science', ' data analysis', ' sql', ' nosql...', 'predictive modeling', ' analytics', ' data science', ' data analysis', ' sql', ' nosql...']"
Python Data Scientist - Analyst/ Sr Analyst,OST Placement Search Private Limited,"Delhi NCR, Bengaluru, Mumbai","['analytical techniques', 'analytical techniques']"
is Hiring for Manager - Data Scientist/ Text Miner,Confidential,Bengaluru,"['topic modelling', ' sentiment analysis', ' text mining', ' predictive modelling...', 'topic modelling', ' sentiment analysis', ' text mining', ' predictive modelling...']"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,HuQuo,"Bengaluru, Gurgaon","['hive', ' data science', ' machine learning', ' python', ' r', ' sql', ' data mining...', 'hive', ' data science', ' machine learning', ' python', ' r', ' sql', ' data mining...']"
Data Scientist - Python - BFS - Iit/dse/iim/nit,HuQuo,"Bengaluru, Gurgaon","['python', ' text mining', ' data structures', ' data analyst', ' data scientist', ' pyspark...', 'python', ' text mining', ' data structures', ' data analyst', ' data scientist', ' pyspark...']"
