,Unnamed: 0,City,Job title,Company name,Location,Salary,tech skills,og_salary_period,salary_category,above_med_sal,technical skills
2909,3303,Seattle,Data Scientist (ASD),Microsoft,"Redmond, WA 98052",,chash_lang analytical matlab computer_science data large python mathematics statistics scripting algorithms service programming sql tools perl data_analysis excel hadoop r_lang,,no category,,chash_lang matlab python mathematics statistics scripting algorithms sql perl excel hadoop r_lang
2910,3304,Seattle,"Product Analyst, Data Science",Google,"Seattle, WA",,product_management strategy analytical ba matlab computer_science statistical sas communication_skills data large design prototype mathematics statistics evaluation scripting verbal_communication dashboards forecasting etl problem_solving sql tools data_analysis analytics technology r_lang,,no category,,matlab sas communication_skills mathematics statistics scripting etl sql r_lang
2911,3306,Seattle,Applied Scientist,Microsoft,"Bellevue, WA",,natural_language_processing designing machine_learning data_mining machine predictive nlp computer_science data ideas information_retrieval statistics evaluation algorithm software_engineering data_science,,no category,,natural_language_processing machine_learning data_mining nlp statistics algorithm
2912,3307,Seattle,Data Scientist- New Ventures,Zillow Group,"Seattle, WA",,modelling machine_learning machine predictive operations_research operations computer_vision mathematical computer_science statistical data languages python mathematics statistics advertising scala algorithms econometrics forecasting research tools spark big_data analytics hadoop data_science r_lang,,no category,,machine_learning python mathematics statistics scala algorithms spark hadoop r_lang
2913,3308,Seattle,Data Scientist,eXcell,"Redmond, WA 98052",,data_scientist acquisition analytical power_bi computer_science communication_skills data written_communication bi azure dashboards problem_solving sql project_management analytics staffing business_intelligence data_science,,no category,,communication_skills written_communication sql project_management
2914,3309,Seattle,Data Scientist II - Payment Products,Amazon.com,"Seattle, WA",,logistic_regression segmentation data_scientist strategy machine_learning data_mining data_extraction machine predictive olap acquisition analytical predictive_modeling decision_trees computer_science statistical sas data large written_communication testing design object_oriented_programming languages python databases mathematics statistics presentation_skills modeling data_visualization advertising statistical_analysis dashboards finance programming tableau analytical_techniques sql tools access visualization ruby financial_services big_data excel linux analytics business_intelligence regression data_science r_lang,,no category,,logistic_regression machine_learning data_mining decision_trees sas written_communication python databases mathematics statistics data_visualization tableau sql visualization ruby excel linux r_lang
2915,3310,Seattle,"Data Scientist, R&D",Facebook,"Seattle, WA",,designing strategy machine_learning machine javascript computer_science data large php python statistics modeling evaluation service product_development research marketing analytics,,no category,,machine_learning javascript php python statistics marketing
2916,3311,Seattle,Network Data Scientist,Facebook,"Seattle, WA",,data_scientist database computer_science statistical data languages python mathematics modeling correlation service forecasting statistical_modeling programming tools data_analysis,,no category,,database python mathematics
2917,3312,Seattle,Machine Learning Scientist,Amazon.com,"Seattle, WA",,c natural_language_processing signal_processing machine_learning machine java software_development communication_skills data large languages python mathematics modeling c algorithms programming perl technology,,no category,,natural_language_processing machine_learning java communication_skills python mathematics algorithms perl
2918,3313,Seattle,Research Data Scientist,Seattle Children’s,"Seattle, WA",,designing flow computer_science data insurance data_manipulation data_management databases statistics health data_analytics clinical_data programming research sql tools project_management visualization analytics data_science r,,no category,,databases statistics sql project_management visualization
2919,3314,Seattle,APPLIED STATISTICAL DEMOGRAPHER / DATA SCIENTIST,University of Washington Medical Center,"Seattle, WA",,data_scientist statistical_programming statistical sas communication_skills data data_collection design python consulting data_management databases statistics evaluation health statistical_analysis service programming statistical_software problem_solving research access data_analysis “big_data” data_science r_lang,,no category,,sas communication_skills python databases statistics r_lang
2920,3315,Seattle,Data Scientist (18016),Axelerate,"Bellevue, WA 98005 (Wilburton area)",,natural_language_processing data_scientist text_mining artificial_intelligence machine_learning data_mining machine predictive documentation database analytical cloud mathematical power_bi statistical data bi recruitment design data_management modeling algorithms service data_research statistical_modeling research sql analytics data_science,,no category,,natural_language_processing artificial_intelligence machine_learning data_mining database cloud algorithms sql
2921,3316,Seattle,Machine Learning Engineer,Textio,"Seattle, WA 98104 (First Hill area)",,open_source designing machine_learning machine predictive nlp data large ideas python service sql spark user_experience,,no category,,machine_learning nlp python sql spark
2922,3317,Seattle,Data Scientist - Technology Development,Direct Energy,"Seattle, WA",,c data_scientist modelling machine_learning data_mining machine predictive java software_development agile computer_science statistical communication_skills data data_collection design languages python mathematics statistics modeling scripting c data_analytics algorithms econometrics product_development forecasting statistical_modeling programming research sql visualization hive big_data machine_learning_algorithms analytics hadoop technology r_lang,,no category,,machine_learning data_mining java agile communication_skills python mathematics statistics scripting algorithms sql visualization hive hadoop r_lang
2923,3318,Seattle,Data Scientist - Operations,Redfin,"Seattle, WA",,product_management data_scientist operations analytical computer_science communication_skills data ideas insurance design statistics selection_process service dashboards finance tableau sql tools excel analytics technology r_lang,,no category,,communication_skills statistics tableau sql excel r_lang
2924,3319,Seattle,Operations Researcher / Data Scientist,Pacific Northwest National Laboratory,"Seattle, WA",,application_development machine_learning machine operations_research simulation java operations mathematical matlab statistical communication_skills data written_communication testing design python mathematics statistics modeling evaluation health data_analytics scala algorithms programming business_development research tools analytics data_science r_lang,,no category,,machine_learning java matlab communication_skills written_communication python mathematics statistics scala algorithms r_lang
2925,3320,Seattle,Research Data Analyst,"Veteran Affairs, Seattle Epidemiologic Research an...","Seattle, WA",,operations database healthcare sas communication_skills data large data_analyst python consulting data_management databases unix health programming research sql data_analysis linux hadoop r,,no category,,database sas communication_skills python databases unix sql linux hadoop
2926,3321,Seattle,Machine Learning Researcher Intern,Amazon.com,"Seattle, WA",,c machine_learning data_mining machine java algorithm_development matlab computer_science statistical data large ideas design information_retrieval python unix statistics modeling scripting data_visualization cpp_lang algorithm algorithms statistical_analysis statistical_modeling programming visualization linux r_lang,,no category,,machine_learning data_mining java matlab python unix statistics scripting data_visualization cpp_lang algorithm algorithms visualization linux r_lang
2927,3322,Seattle,"Data Scientist, Machine Learning Platform",Apple,"Seattle, WA",,signal_processing artificial_intelligence machine_learning machine nlp computer_vision software_development computer_science statistical data design python statistics tensorflow algorithms product_development research tools machine_learning_algorithms hadoop deep_learning data_science r_lang,,no category,,artificial_intelligence machine_learning nlp python statistics tensorflow algorithms hadoop deep_learning r_lang
2928,3323,Seattle,Machine Learning Engineer,Adobe,"Seattle, WA",,designing machine_learning machine java computer_vision cloud javascript computer_science communication_skills data large written_communication testing data_structures design languages nodejs prototype python algorithms programming cuda research aws redis tools spark user_experience technology,,no category,,machine_learning java cloud javascript communication_skills written_communication python algorithms aws spark
2929,3324,Seattle,Data Scientist,elifsys,"Seattle, WA",,text_mining· power_bi data bi forecasting tableau· visualization marketing data_science· r·,,no category,,visualization marketing
2930,3326,Seattle,Applied Scientist,Zillow,"Seattle, WA 98101 (Downtown area)",,modelling machine_learning machine predictive operations_research operations computer_vision mathematical computer_science statistical data languages python mathematics statistics advertising scala algorithms econometrics forecasting research tools spark big_data analytics hadoop data_science r_lang,,no category,,machine_learning python mathematics statistics scala algorithms spark hadoop r_lang
2931,3327,Seattle,"Infrastructure Data Scientist, Intern",Facebook,"Seattle, WA",,c_lang strategy machine_learning data_extraction machine cleaning java analytical mathematical computer_science communication_skills data large php python mathematics statistics cpp_lang algorithms forecasting programming sql tools perl analytics hadoop pandas r_lang,,no category,,c_lang machine_learning java communication_skills php python mathematics statistics cpp_lang algorithms sql perl hadoop pandas r_lang
2932,3328,Seattle,"Data Scientist, Natural Language Processing (NLP) - Amazon AI",Amazon.com,"Seattle, WA",,natural_language_processing data_scientist modelling artificial_intelligence pig machine_learning machine nlp clustering agile computer_science statistical data testing data_collection design python statistics modeling evaluation scripting data_analytics algorithms data_modeling statistical_modelling aws sql tools visualization perl hive data_analysis big_data analytics technology r,,no category,,natural_language_processing artificial_intelligence pig machine_learning nlp agile python statistics scripting algorithms aws sql visualization perl hive
2933,3329,Seattle,"applied economist/ statistician; Business Strategy- Seattle, WA",Starbucks,"Seattle, WA 98134 (Industrial Complex area)",,oracle machine_learning machine predictive operations_research operations database analytical clustering decision_trees statistical data large design prototype python statistics modeling evaluation neural_networks algorithms econometrics forecasting statistical_modeling research sql ms_sql machine_learning_algorithms analytics technology regression r_lang,,no category,,machine_learning database decision_trees python statistics neural_networks algorithms sql r_lang
2934,3330,Seattle,Data Analyst,Microsoft,"Redmond, WA 98052",,designing segmentation strategy supply_chain data_mining analytical cloud agile computer_science data large sales ideas monitoring quantitative_analysis data_analyst design data_manipulation statistics health data_analytics verbal_communication service dashboards finance problem_solving agile_development tools marketing data_analysis big_data excel analytics technology,,no category,,data_mining cloud agile statistics marketing excel
2935,3331,Seattle,Sr. Data Engineer,Amazon.com,"Seattle, WA",,dw oracle designing data_scientist data_extraction performance_tuning java operations software_development computer_science communication_skills data large data_warehousing coding warehouse design python unix mathematics modeling service data_modeling programming etl research aws sql ruby postgresql excel linux analytics business_intelligence,,no category,,java communication_skills python unix mathematics etl aws sql ruby excel linux
2936,3332,Seattle,"Software Engineer, Machine Learning",Facebook,"Seattle, WA",,c artificial_intelligence pig machine_learning data_mining mapreduce machine java computer_science data fraud languages php python scripting hbase c pattern_recognition tools classification perl hadoop regression,,no category,,artificial_intelligence pig machine_learning data_mining mapreduce java php python scripting hbase perl hadoop
2937,3333,Seattle,Data Scientist,Beyondsoft Consulting,"Bellevue, WA",,json data_scientist strategy machine_learning machine predictive analytical cloud agile power_bi computer_science communication_skills data sales written_communication data_structures coding bi python consulting mathematics statistics health neural_networks tensorflow azure algorithms service dashboards tableau aws business_analytics sql predictive_analytics data_analysis analytics deep_learning data_science r_lang,,no category,,machine_learning cloud agile communication_skills written_communication python mathematics statistics neural_networks tensorflow algorithms tableau aws sql deep_learning r_lang
2938,3334,Seattle,Data Science Intern,Conversica,"Seattle, WA 98104 (First Hill area)",,natural_language_processing big_data_analytics artificial_intelligence machine_learning machine predictive mathematical agile computer_science data large testing design python mathematics statistics data_analytics algorithms programming research predictive_analytics classification data_analysis big_data analytics deep_learning data_science,,no category,,natural_language_processing artificial_intelligence machine_learning agile python mathematics statistics algorithms deep_learning
2939,3335,Seattle,Data Engineer Intern,Zillow,"Seattle, WA 98101 (Downtown area)",,machine_learning machine database agile data large ideas life_cycle design algorithms research spark apache big_data machine_learning_algorithms analytics hadoop quality_assurance data_science,,no category,,machine_learning database agile algorithms spark hadoop
2940,3336,Seattle,Data Scientist (Cyber Security),ViaSat,"Seattle, WA",,c tensor_flow machine_learning machine predictive java flow acquisition clustering predictive_analysis matlab computer_science statistical networking data ideas design python mathematics modeling evaluation scripting c data_analytics scala statistical_analysis data_modeling programming tools spark visualization data_analysis big_data analytics hadoop technology deep_learning data_science r_lang,,no category,,machine_learning java matlab python mathematics scripting scala spark visualization hadoop deep_learning r_lang
2941,3337,Seattle,Data Scientist (Trust and Safety),Grab Taxi,"Seattle, WA",,c designing logistic_regression machine_learning data_mining mapreduce machine predictive statistical_programming mysql java predictive_modeling clustering decision_trees statistical sas data fraud languages python databases modeling neural_networks cpp_lang scala algorithms forecasting programming etl sql spark classification validation postgresql hadoop regression r_lang,,no category,,logistic_regression machine_learning data_mining mapreduce java decision_trees sas python databases neural_networks cpp_lang scala algorithms etl sql spark hadoop r_lang
2942,3338,Seattle,Sr. Data Scientist,Mighty AI,"Seattle, WA 98101 (Downtown area)",,data_scientist artificial_intelligence machine_learning machine predictive computer_vision predictive_modeling statistical data coding design python modeling service™ statistical_modeling sql ruby r,,no category,,artificial_intelligence machine_learning python sql ruby
2943,3339,Seattle,Research Opportunity in GIS and Statistical Analysis,Oak Ridge Associated Universities,"Seattle, WA",,analytical statistical data large monitoring coding insurance design python unix modeling health go scripting statistical_analysis service programming website research tools data_analysis r_lang,,no category,,python unix go scripting r_lang
2944,3340,Seattle,Lead Data Scientist,Amazon.com,"Seattle, WA",,oracle segmentation product_management strategy analytical statistical sas communication_skills data large business_reporting quantitative_analysis design mathematics statistics correlation finance business_analytics sql access excel analytics technology business_intelligence r,,no category,,sas communication_skills mathematics statistics sql excel
2945,3341,Seattle,Machine Learning Engineer,AnswerIQ,"Bellevue, WA",,c natural_language_processing machine_learning machine java nlp clustering software_development computer_science data large object_oriented_programming languages python statistics cpp_lang tensorflow scala algorithms service programming aws tools classification regression deep_learning,,no category,,natural_language_processing machine_learning java nlp python statistics cpp_lang tensorflow scala algorithms aws deep_learning
2946,3342,Seattle,Data Scientist (Only GC or US Citizens),Pro-Tek Consulting,"Bellevue, WA",,modelling machine_learning machine predictive computer_science data python mathematics statistics tensorflow predictive_modelling technology deep_learning data_science,,no category,,machine_learning python mathematics statistics tensorflow deep_learning
2947,3343,Seattle,Software Engineer I - Modeling Analysis and Theory,Allen Institute,"Seattle, WA 98109 (Westlake area)",,c data_mining analytical computer_vision software_development computer_science communication_skills data large testing modeling c verbal_communication tools visualization linux software_engineering,,no category,,data_mining communication_skills visualization linux
2948,3344,Seattle,Data Research Analyst - Intern,Trupanion,"Seattle, WA",,data data_analyst insurance statistics health research sql excel analytics,,no category,,statistics sql excel
2949,3345,Seattle,Senior Data Scientist - Neural Networks,Neal Analytics,"Redmond, WA",,signal_processing data_scientist machine_learning machine operations rnn social_media cnn matlab power_bi statistical sas data ideas monitoring bi text_analytics python consulting data_cleansing advanced_analytics data_visualization azure technology_consulting statistical_software aws sql tools spark visualization marketing data_analysis big_data excel analytics hadoop ds technology regression data_science r_lang,,no category,,machine_learning matlab sas python data_visualization aws sql spark visualization marketing excel hadoop r_lang
2950,3346,Seattle,"Data Scientist, Machine Learning","ExtraHop Networks, Inc.","Seattle, WA",,operations cloud retail software_development healthcare computer_science data large testing data_structures coding design languages python statistics data_analytics algorithms service programming research aws business_analytics sql tools data_analysis financial_services big_data analytics technology data_science pandas,,no category,,cloud python statistics algorithms aws sql pandas
