Job_Name	Skillset	Location	Organization
Hiring For Buisness Analyst # Inventum Technologies Pvt. Ltd. # Noida	logistic regression, cluster analysis, factor analysis, sas...	Delhi NCR, Gurgaon	Premium
Product Lead - Product Engineering	sales, product marketing, fmcg, product design, upsell, customer retention,...	Noida	Premium
Database Architect	text mining, machine learning, r, python, data analysis...	Pune	Premium
Lead / Architect - Big Data	big data analytics, cassandra, No SQL, SPARK, Hive, Pig, Impala	Gurgaon	Pinnacle-Consultancy
Angular 2/ 4/ 5 Developer - UI Development	project management, stakeholder management, agile, technology consulting...	Bengaluru	Premium
Big Data Developer / Architect	deep learning, machine learning, r, python, sql, spark, time series...	Bengaluru	Switchover Solutions
Artificial Intelligence Specialist (nlp/ie/ir/text/krr)	Excel, Actuarial, Finance, Insurance, Analytics, Data Analytics, Dashboards...	Mumbai	Hector and Streak Consulting Pvt Ltd
Big Data Developer / Architect	Machine Learning, Tableau, Algorithms, Data Science	Mumbai	Vishwa Management Services
Manager/sr Manager-analytics	MS SQL Server, ETL Tool, Data Warehousing, Data Architecture, Quality Stage...	Bengaluru	Premium
Manager - Data Mining - Financial Firm	Big Data, Hadoop, SQL, Data Analytics, Macros, VBA, Advanced Excel...	Pune	Premium
Business Analyst	Advanced Excel, MIS Reporting, Data Analytics, Power Bi...	Mumbai	Premium
Lead Analyst, Analytics (click view / BO )	Finance, Financial Analysis, Communication Skills, Financial Reporting...	Gandhinagar	I Serve Systems Pvt Ltd
KPMG is Hiring for Analyst-rpo-gurgaon	SQL, Data Science, Time Series, Tableau, R, Data Analytics, Data Quality...	Bengaluru	ManpowerGroup Services India Private Limited
Fresher - Analytics	Hadoop, Big Data, Machine Learning, Data Analytics	Bengaluru	Apogee Services Private Limited
Business Development Head (cold Chain)	Data Science, Machine Learning, Analytics, Web Technologies	Delhi NCR, Mumbai, Bengaluru, Gurgaon	TalPro
Business Analyst ( 4 -  5 yrs) - Changepond Technologies	c, business analysis, python, data analysis, artificial intelligence, excel...	Mumbai	Premium
MIS Executive - Ecommerce	Analytics, Business Strategy Development, Big Data Analytics...	Mumbai	Premium
Real Estate-tele Marketing Executive/telesales	Analytics, Business Strategy Development, Big Data Analytics...	Mumbai	Premium
Urgent Openings for Software Infrastructure Engineer	Android, Java, Web Technologies, Big Data Analytics, Native, Front End...	Mumbai	Premium
Looking for Joomla Developer	data analyst, reporting analyst, sas, statistics, sas programmer...	Delhi NCR, Gurgaon, Noida	SLA Consultants India
Manager Enterprise Sales	data analytics, Analytics Head, Head of Analytics	Hyderabad	Saaki Argus And Averil Consulting
Assistant Vice President - Fraud Analytics - Consumer/ Retail Banking	Machine Learning, Web Technologies, Chief Intelligence Officer, Analytics...	Delhi NCR, Mumbai, Bengaluru, Gurgaon	TalPro
Assistant Manager - Data Science & Web Analytics - Ecommerce	Python, Django, Machine Learning, Html5, Data Analytics, Microservices...	Bengaluru	Premium
Data Engineer - Data Modeling - Consumer Fintech	Marketing Communication, Marketing Analytics, Execution, Data Analysis...	Mumbai	Premium
Data Engineer	Product Sales, Product Marketing, NoSQL, MySQL, Java, Data Science, Machine...	Delhi NCR	Premium
Assistant Vice President - Fraud Analytics - Consumer/retail Banking	big data, machine learning, r, data analytics, elk, Elastic Search	Bengaluru	3i Infotech Limited
Process Analyst	Hadoop, Spark, Machine Learning, Python, Big Data Analytics, Cassandra...	Bengaluru	Premium
Assistant Director - TAS Economic Advisory Practice	Digital Marketing, Social Media Marketing, Advertising, Campaigns...	Jaipur	Adecco India Private Limited
Data Scientist - Premier Institutes	Advanced Excel, MIS Reporting, Data Analytics, Power Bi...	Mumbai	Premium
Manager - Economic Advisory Practice	Online Marketing, Big Data Analytics, Web Technologies, Digitization...	Delhi NCR	Premium
Analyst, RQA Operations	sql, data analytics, Tableau, Analytics, Data Management, SAS	Delhi NCR	Premium
Lead Data Scientist/machine Learning Engineer	sas sql, chaid, cluster analysis, predictive modeling, logistic regression,...	Gurgaon	Premium
Business Analyst	Marketing Campaigns, HR, Data Analytics, Client Acquisition...	Chennai	Altair HR Management and Projects.
Lead- IT Field Sales	Big Data Analytics, Data Architecture, File System...	Hyderabad	RANDSTAD INDIA PVT LTD
ATL - PEDL Operations (zoomcar Individual Contract)	machine learning, artificial intelligence, data analytics, hadoop, sas...	Delhi NCR, Gurgaon	Premium
Required Equity Derivative Trainer (freelancer) - East Delhi	rfi, sales, marketing programs, presales, business development...	Mumbai	Premium
Telecom Analytics - Practice Lead with Infosys BPM at Pune	Operations, Service Delivery, SLA, Service Management, Data Analytics, Data...	Chennai	HR India Solutions
Walk in Interviews for MIS / Back End Operations/ Team Lead  & Payroll	Android Development, Web Development, Bluetooth Low Energy...	Delhi NCR	SHORTLIST PROFESSIONAL SERVICES PRIVATE LIMITED
Research Analyst (fundamental) - Freelancer (Min 2 Years of exp)	Big Data Analytics, R, Netezza, Predictive Analytics, Data Modeling...	Pune	Premium
Technical Manager - Lab Management	product management, product strategy, user experience, data analytics...	Mumbai	Premium
Manager - Customer Analytics - Retail / CPG	project management, equity research, clinical development...	Gurgaon	RANDSTAD INDIA PVT LTD
Manager - Customer Analytics - Retail/cpg	Advanced Excel, MIS Reporting, Data Analytics, Power Bi...	Mumbai	Premium
Walk in Interview -project Management Office (pmo)-attra Infotech	Product Marketing, Market Research, Analytics, Business Operations, Machine...	Delhi NCR, Mumbai, Bengaluru, Gurgaon	TalPro
Urgent Requirement || Data Analyst Required for a US Based MNC	Advanced Excel, MIS Reporting, Data Analytics, Power Bi...	Mumbai	Premium
MIS Executive	Manager Sourcing and Procurement - Gurgaon, HR	Gurgaon	Optum, a UnitedHealth Group Company
Market Research Executive -gurgaon/ Primary Research	Project Management, Project Execution, Business Intelligence...	Bengaluru	Premium
Market Research Associate	Sitecatalyst, Omniture, Keyword Research, Web Analytics, Campaigns...	Hyderabad	Technosoft Global Services Pvt Ltd
Analytics Manager - Data Science, R, Python, SQL	Finance, Banking Operations, MIS Reporting, Data Analytics...	Malaysia	Premium
JP Morgan | Diversity Drive - Global Finance | 24th March	SSIS, SSAS, Power Bi, SQL Server, Procurement, SQL Queries, Spend Analysis,...	Mumbai	Collabera Technologies Private Limited
Market Research Analyst	predictive analytics, business analysis, data analytics, data analysis...	Bengaluru	Premium
Looking for D3.js Resource	sql, excel, business analysis, r, statistics, sas, data management...	Bengaluru	Premium
Digital Advertising Account Manager/ Executive	Business Analysis, Data Analytics, Excel, R, Tableau, Google Analytics...	Hyderabad	Career Catalysts HRC Pvt. Ltd.
Senior Python Developer	project management, pmo, data analysis, data analytics, data management...	Pune	KREHSST RECRUITMENT SOLUTIONS
Graduate Engineer Trainees	product management, roadmap, go - to - market strategy...	Chennai, Noida	TriunionTech
Data Science Engineer - Python/ Ruby on Rails	machine learning, data scientist, algorithm, python, Modeling	Bengaluru	HR CENTRAL
.Net C# ASP - Solution Architect / Consultant / Senior Developer	data analytics, SQL, VBA, ETL TOOL	Trivandrum	Power jobs
Data Scientist - Cloud/aws	merchandising, buying, retail, merchandise planning, data analytics...	Dubai/ UAE	Premium
Adobe Analytics Implementation Analyst	Sales, Bd, Business Development, Data Analytics, Proposals...	Mumbai	Premium
Genpact Direct Walk-in | VBA Developer || 5 March || Bangalore	Finance, Accounting, Budgeting, HFM, Forecasting...	Mumbai	Thermofisher Scientific India Private Limited
MIS Executive	.net, VB.NET, Visual Basic, ASP.Net, dot net, vb, .net developer...	Noida	Helm Analytics Pvt Ltd
Research Analyst (fundamental) / Ma(economics)/ Cfa-i/ Imm Joining	HBase, Hadoop, Data Analytics, Data Integration, Web Technologies, Big Data...	Noida	Alp Consulting Ltd
Business Analyst	SEO, Search Engine Optimization, Page, Channel Sales, SQL, Omniture...	Bengaluru	Dell International Services India  Private Limited
Project Coordinator and Analyst	Project management, Procurement, Manager Quality Control, AutoCAD...	Gurgaon	Aecom Pvt Ltd
Ilog / WODM Developer	SAS, Predictive Modeling, SQL, Risk Analytics, Statistical Analysis, VBA...	Gurgaon	XL India Business Services Pvt. Ltd.
Senior Business Analyst	Excel, Risk Analytics, Computer Application, Visual Basic, Actuaries...	Gurgaon	XL India Business Services Pvt. Ltd.
Compliance Analyst _ US Shift _3-5 Yrs Experience	search engine marketing, sem, ppc, google analytics, adwords	Navi Mumbai	eClerx Services Ltd.
Associate - Valuations	google analytics, reporting, Omniture	Navi Mumbai	eClerx Services Ltd.
Specialist - Data Analytics - Information Systems	Outbound Sales, Marketing, Selling, Retail, Rpas, Analytics selling...	Hyderabad	Iflate Softsystems India Private Limited
Sales Executive/ Asst. Manager/ Manager	SEO, Google Analytics, Content Writing	Noida	Redian Software Private Limited
Technical Lead ( Cognitive Analytics Cloud)	Analytics, Statistics, Machine Learning	Mumbai	Nearby Technologies Pvt Ltd
Lead Data Scientist	Service Marketing, Sales, Business Development, New Business, Social Media,...	Mumbai, Bengaluru, Delhi	Premium
Data Scientist Lead / Senior Data Scientist	administration management, python, c++, data analytics, programming...	Delhi NCR	Black Turtle India Pvt Ltd
SAS Analyst	Production Planning, Java, Python, Quantitative Research, Languages...	Bengaluru	Black Turtle India Pvt Ltd
Requirement for Data Analyst at Atos, Mumbai	Inbound, Calling, Call Center, Project Management, Data Analytics...	Bengaluru	Pathfinder Management Consulting (India) Ltd.
Junior Product Engineer ( Big Data Analytics, Cloud, AI )	c++, python, java, sql, r, data analytics, statistical analysis...	Greater Noida, Noida	Convate Consultancy Services Pvt Ltd
Product Engineer ( Big Data Analytics, Cloud, AI )	Data Analytics, Machine Learning, Big Data, R, C / C++, Analytical, Python,...	Delhi	Apple Pie Consulting & Hr Services
Hiring for Sales Analyst	Business analysis, PMP, Service, Analytics, Information technology...	Bengaluru	Shell India Markets Private Limited
Analyst/ Associate Analyst - Actuarial - Insurance	Big Data, Hadoop, ETL, Business Intelligence, Teradata, Datawarehousing...	Bengaluru	Careernet Technologies Pvt Ltd
Senior Analyst - Text Analytics - Latentview Analytics, Chennai	Concept Design, User Experience, Product Strategy, Product Development...	Malaysia, Singapore	Premium
Hiring Head - Digital Marketing - Sr. Manager	Data Analyst, R, Python, Big Data, data analysis, Hadoop, business analysis...	Pune	Premium
Customer Care Executives - Faridabad Location - ATS Services Pvt Ltd	Inside Sales, Lead Generation, Big Data Analytics, US Market, Sales Process...	Mumbai	Premium
TLM Recon Admin / Smart Studio - Urgent Requirement - Chennai / BLR	Service Desk, Email Marketing, Technical Support, Javascript...	Delhi NCR	ShiningStars Institutions and Travels Pvt. Ltd.
Individual Contributor (angular 2/4) & Senior Developer (mean Stack)	AdSense, Google Analytics, Google AdWords, Facebook, Data Structures...	Bengaluru	Premium
Reports Developer	Spark, Big Data Analytics, Data Analysis, R, Tableau, Content Management...	Bengaluru	Premium
Unifier Functional Consultant	Business Finance, Sales Forecasting, Business Planning, Financial Modelling...	Mumbai	Premium
SAP BW with BCS and ABAP for Bangalore	data analytics, Reporting, R, Python, SQL, Unit Support	Mumbai	Premium
Dot Net Developer- Webform @ Surat	inside sales, lead generation, big data analytics, us market, sales process...	Mumbai	VITASTA CONSULTING PVT LTD
Dot Net Developer- MVC @ Surat	elastic search, big data analytics, Kibana, Logstsh	Bengaluru	Spigot Software Private Limited
Hiring for Am-wfm for one of our Domestic Client	Shipping, Java, Software Development, Agile Methodology...	Bengaluru	Premium
Trainers, Counselors & Center Managers - TDT	SQL, R, Data Analytics, Machine Learning, Major, Hadoop, Tableau, Excel...	Bengaluru	Collabera Technologies Private Limited
Need SAP BI BW BO Consultant for Mumbai (andheri)	Project Management, Stakeholder Management, Agile, Technology Consulting...	Bengaluru	Premium
Manager - Quality Management- Corporate (from Auto/auto Component Ind)	Data Analytics, Data Analysis, Data Management, Dashboard, Business models,...	Bengaluru	Mastermind Network
Technical Lead ( Cognitive, Analytics, Cloud)	Insurance training, BFSI Training, Training strategy, Delivery Management...	Mumbai, Goa	Premium
Email Marketers	internal audit, risk advisory, enterprise risk management, auditing...	Pune	Premium
Ensighten	Inventory Optimization, Supply Chain, Customer Analytics...	Bengaluru	iSearch Consulting Services Pvt Ltd
Openings for Data Modeler for Product Based Company	Accounting, Finance, Research Analysis, Market Research, Report Writing...	Zambia	Quadrangle Search
ETL (informatica) Developer - Noida - Cmmil 5 - Immediate Joining	C++, Algorithms, Algorithm Development, Image Processing...	Bengaluru	Premium
Opening For MIS Analyst	Data Analytics, R, Statistics, SAS, Operations Research...	Bengaluru	Premium
Looking for SAP Developer @ Hyderabad.	Android, Java, Web Technologies, Big Data Analytics, Native, Front End...	Mumbai	Premium
Immediate Opening for Hadoop Developer @ Delhi/ncr.	data analysis, machine learning, python, data analytics, data collection...	Mumbai	Premium
Urgent JOB Vacancy For Hadoop Developer- Gurgoan/ Noida	machine learning, r, python, statistics, operations research, supply chain,...	Bengaluru	Premium
SAP HANA - Trainer ( Consultant)	Tableau, MS SQL, Pearl, Data Analytics, Excel, Power Bi, R...	Noida	Technogen India Private Limited
SR Technical Consultant (obiee &BI; Applications Expert (bi-apps))	Data Analytics, Statistical Analysis, Leadership Skills, Clinical, STATA...	Chandigarh	Neptune consultants
ODI Lead	MS SQL Server, ETL Tool, Data Warehousing, Data Architecture, Quality Stage...	Bengaluru	Premium
SAP BI WITH Retail Domain-dubai	project management, stakeholder management, agile, technology consulting...	Bengaluru	Premium
BOBJ Developer	R, Data Mining, Machine Learning, Data Analytics, Finance...	Mumbai	Premium
Urgent Placement for SAP Security with HCL Chennai	Big Data, Hadoop, SQL, Data Analytics, Macros, VBA, Advanced Excel...	Pune	Premium
HR Analytics - Bangalore	Statistical Modeling, Data Analytics, Data Analysis, Business Analysis...	Pune	Premium
HANA Modeller for a US Based Company in Pune	spring, hibernate, j2ee, core java, hadoop, nosql, spark...	Pune	Premium
Obiee lead	r, machine learning, sas, predictive modeling, data mining, data analytics,...	Chennai	Pylon Management Consulting Pvt Ltd
SAP Bi/bw Consultant (urgent Position need to join in 15 days Maximum)	r, python, Machine Learning, information retrieval, graph algorithms...	Delhi NCR, Pune	Mississippi Consultants
Hiring for Oracle Fusion Technical-immediate Joiner	Data Analytics, Product Strategy, Concept Design, Product Development, User...	Malaysia, Singapore	Premium
ERP Consultant -oracle - HRMS Module - For Qatar	analytics, statistics, Data Analytics, Predictive Modeling, SAS, Predictive...	Bengaluru	Vertex Corporate Services (I) Pvt Ltd
Production Support SME (BI) -L3	benefits, compensation, data analytics, data mining	Mumbai	Veeyu HR Solutions Pvt. Ltd.
SERVICE TECHNICIANS	python, data science, business intelligence, RDBMS, MATLAB, SQL, AWS, Azure	Bengaluru	Arcadis Consulting India Pvt. Ltd.
MECHANICAL MANAGER/ SR. MANAGER	Product Marketing, Market Research, Consumer Insights, Consumer Research...	India	Premium
Solution Architect - Microsoft Business Intelligence	Product Marketing, Market Research, Consumer Insights, Consumer Research...	India	Premium
Senior Manager Analytics	investigation, law enforcement, fraud control, data analytics...	Bengaluru, Chennai	Connexio Search and Consulting PTE. LTD
Business Analyst	Data Science, Machine Learning, Data Analytics, data scientist...	Kolkata	Golden Opportunities Pvt Ltd
Power BI Consultant	inside sales, lead generation, big data analytics, sales process...	Mumbai	Premium
SAP Consultant	Marketing Automation, Customer Analytics, IIM, Tableau, Data Analytics...	Mumbai	Premium
Urgent Requirement for SAP BW Consultant _C2H Opening Gandhinagar	Product Marketing, Campaigns, Market Research, Monetization...	Mumbai	Premium
Dq101: Middleware Administrator	Product Marketing, Campaigns, Market Research, Monetization...	Mumbai	Premium
Oracle Cloud Technical	Android, Java, Web Technologies, Big Data Analytics, Front End...	Mumbai	Premium
Oracle Cloud Technical	Data Analytics, Product Development, Quality Assurance, Technical Design...	Chennai	Placewell Consultants
Bi/cognos & Dynamic Cube Build Lead	CSS, HTML, Bootstrap, UX, Product Design, Networking, Product Management...	Bengaluru	Premium
Solution Architect - Data Management and Integration	Spark, Big Data Analytics, Data Analysis, R, Tableau, Content Management...	Bengaluru	Premium
Sr. Oracle Fusion Technical Consultant //  MNC	R, SAS, Predictive Modeling, Statistical Modeling, Data Analytics...	Chennai	Premium
Hiring Oracle Fusion Technical Consultant	Big Data, Analytics, IoT R&D; Analytics Research, Big Data Analytics...	Pune	Premium
MSBI Developer	spring, hibernate, j2ee, core java, hadoop, nosql, spark, hive...	Mumbai, Chennai, Pune	Premium
Senior Software Engineer Product Development	spark, big data, r, advanced analytics, data analytics, problem solving...	Bengaluru	Premium
Data Analyst	Machine Learning, IoT, data mining, predictive modelling...	Bengaluru	Premium
Software Developer 3	r, python, Machine Learning, information retrieval, graph algorithms...	Chennai	Mississippi Consultants
Senior Consultant	m2m, cloud, security, Solution Architect, IOT	Hyderabad	ABC Consultants Pvt Ltd
Hadoop Developer	Machine Learning, Web Technologies, Chief Intelligence Officer, Analytics...	Delhi NCR, Mumbai, Bengaluru, Gurgaon	TalPro
Data Assistant	segmentation, sql, data analytics, team management, data analysis...	Bengaluru	Premium
Database Administrator	SQL, Data Science, Time Series, Tableau, R, Data Analytics, Data Quality...	Bengaluru	Premium
Software Engineer - Machine Learning	Natural Language Processing, Predictive Modeling, R, Machine Learning, SAS,...	Mumbai, Pune	Premium
Corporate Trainers	Machine Learning, Artificial Intelligence, Data Analytics, Hadoop, SAS...	Delhi NCR, Gurgaon	Premium
Ms dynamics navision (technical)	Hive, Impala, Spark, Hadoop, Pig, YARN, Big Data Analytics, SQL, ETL, DW	Bengaluru, Chennai	Technogen India Private Limited
Advisor, Enterprise Technical Services - India	project management, delivery management, client engagement, solution design...	Chennai	Premium
Technical Program Manager - Data Product Development	Data Science, Machine Learning, SQL, Python, R, ETL, Statistics, Analytics,...	Mumbai	Premium
Database Developer and Consultant	Db2, VSAM, Cics, SSRS, MS SQL Server, Oracle, Teradata, Cassandra...	Chennai	ABC Consultants Pvt Ltd
Business Analyst	analytics, tableau, qlikview, spotfire, sql, acl, end to end analytics...	Chennai	hCapital Business Consulting Private Limited
ASP.NET Developer	SAS, Predictive Modeling, Statistical Modeling, Predictive Analytics, R...	Bengaluru, Chennai, Hyderabad	ManpowerGroup Services India Private Limited
IOC/NOC IG Insights Advisor	Database Marketing, Sales, Data Analytics, Data Extraction, SAS, R...	Chennai	Premium
Analyst, Inv Resrch & Anlytics	Operations, Product Management, Product Development, Product Manager...	Mumbai	Premium
Associate Consultant - Tactical	Google AdWords, Business Process Modeling, Digital Marketing, HTML, Youtube...	Mumbai, Hyderabad, Pune	Eyeglobal Solutions Private Limited
Business Analyst	deep learning, python, java, machine learning, r, github, c#...	Bengaluru	HR CENTRAL
Senior Quality Analyst-Mcare	Oracle SQL, Data Modeling, Big Data Analytics, SAS, Data Integration, ETL...	Gurgaon	Premium
e-Emphasys Applications Consultant	supply chain, customer analytics, insurance analytics, retail analytics...	Bengaluru	iSearch Consulting Services Pvt Ltd
India GIS Analyst Sr	HR Analytics, Benefits, Compensation, Rewards, Data Analytics	Bengaluru	M/S Maxima Executive Search Pvt Ltd
Business Analyst Reporting- Reserve	Business Analysis, Business Analysis & Intelligence Consultant...	Mumbai	Premium
Software Engineer - Python Developer | ThinkPalm	Mean Stack, UX, Bootstrap, Android Application Development...	Hyderabad	Premium
Dy. Manager- Operation	Java xml, xpath, xslt, dom, java, data, analytics, parse, scanner, html	Chennai	Arise Global Services Private Limited
Service Engineer	data analysis, Data Analytics, Python, R, MATLAB, SQL, NoSQL...	Bengaluru(Nelamangala)	Yashas Management Solutions
Maintenance Head	R, SQL, Time Series, Data Mining, Tableau, Data Analytics, Statistics...	Bengaluru	Premium
Mechanical_ Assistant Chief	data analysis, predictive analytics, cluster analysis, r, machine learning,...	Jaipur	Premium
Mechanical Executive	marketing analytics, retail analytics, cpg, predictive modeling, predictive...	Delhi NCR	Teamlease Servcies limited
Technical Lead	SAS, R, Data Analytics, Statistical Modeling, Time Series, Ad Sales, Linear...	Mumbai	Pylon Management Consulting Pvt Ltd
MS SQL Developer for a US company	Customer Service, Customer Support, Process Training, Customer Relationship...	Mumbai	People Powered Solutions
MongoDB Developer for a Canadian company	inside sales, lead generation, big data analytics, us market, sales process...	Mumbai	Premium
Marine Service Engineer	Regression Analysis, Logistic Regression, Factor Analysis...	Chennai	Premium
Lead Software developer	project management, project planning, strategy, sales, data analytics...	Delhi NCR, Mumbai, Gurgaon	Premium
Job description - Sr. Manager Marketing EHV	sales, product management, recruitment, marketing, big data analytics, data...	Bengaluru	Premium
Job description - Manager Sales Marketing EHV	linear regression, text mining, r, text analytics, ites, bpo...	Gurgaon	2Coms Consulting Pvt Ltd.
Flexcube Production Support Consultant	SAS SQL, R, Predictive Modeling, Logistic Regression, Predictive Analytics,...	Bengaluru, Chennai	Premium
Customer Insight Analyst	spark, big data analytics, data analysis, r, tableau, content management...	Bengaluru	Premium
SAP BO Developer	algorithms, javascript, python, core java, orm, web technologies...	Mumbai	Human Forte
Sr Microstrategy Developer	Java, Python, Perl, Open Source, Data Analytics, Elastic search, Logstash...	Pune	Macropace Technologies
Big Data Technical Architect	data analysis, big data analytics, statistical modeling, data extraction...	Bengaluru, Pune	Premium
PSE Software Specialist	healthcare analytics, big data analytics, data visualization...	Delhi NCR, Bengaluru	Naukri Premium - Employer Services
Engineering Head	Analytics Manager, SAS, SQL, Tableau, Marketing analytics...	Hyderabad	Live connections
Software Development Engineer	risk management, risk analytics, data analysis, credit risk, finance...	Mumbai	Premium
Security Supervisor	Deep Learning, Image Analytics, Numerical Data Analytics, Machine Learning,...	Bengaluru	HR CENTRAL
BiG Data Architect	Analytics, Data Science, Statistical Learning, Prescriptive Analytics...	Bengaluru	Premium
QUA-Project/Program Management	Machine Learning, Chief Intelligence Officer, Analytics, SAS...	Delhi NCR, Mumbai, Bengaluru, Gurgaon	TalPro
Reporting Analyst	sql, alteryx, r, tableau, sas, project leading, data scientist, Python...	Bengaluru	Premium
TMIS business at Paypal	finance, financial statement analysis, credit analysis, prospecting, cfa...	Gurgaon	ABC Consultants Pvt Ltd
Internship	Senior Associate, CRM, Strategy planning, Analytics, Services & Engagement,...	Bengaluru	Confidential
Senior Engineer Product Development	eretail, e - commerce, b2b, retail, price intelligence, payment gateways...	Mumbai	Proactive HRD Private Limited
Application Architect	Banking, Strategy Consulting, Finance, Wealth Management...	Bengaluru	Confidential
Officer-Safety	xml, sas sql, nosql, finance, data analytics, big data, data mining...	Mumbai	Pylon Management Consulting Pvt Ltd
Officer- Technical	Hive, Mapreduce, Impala, Hdfs, Spark, Big Data, Finance, Data Architecture,...	Bengaluru	Mphasis Limited
Knowledge Analyst	Data Analytics, Power BI, Creating dashboards, dashboards, sql	Hyderabad	Allegis Services India Pvt. Ltd.
SW Engineer (Apps)	SAS SQL, Chaid, Cluster Analysis, Predictive Modeling, Logistic Regression,...	Gurgaon	Premium
Lead Analyst - GAMMA	Data Science, Machine Learning, SQL, Python, R, ETL, Statistics, Analytics	Mumbai	Premium
Senior Consultant - Talend Metadata Manager	Business Intelligence, Data Integration, Data Analytics...	Gurgaon	Premium
Qlik Sense Developer	big data analytics, business intelligence, data warehousing, datawarehouse,...	Bengaluru	Symmetrical Global Search Private Limited
"Designation
Regional Business Head - Kolkata (Distribution)"	analyst Business Analyst, Data Analyst, ATM, NEFT, RTGS, Derivatives...	Mumbai	HR CENTRAL
Data Warehousing	SQL, Teradata, Bi, Google Analytics, Performance Monitoring...	Bengaluru	Corp Placements
Consultant/Associate Consultant	Finance, Financial Planning, Financial Modelling, Financial Markets...	Bengaluru	Befree Business Resourcing LLP
Backend Java Software Engineer	Analytics, SAS, SQL	Gurgaon	People First Consultants Pvt Ltd
Finance Manager	Networking, Security Compliance, Cyber Security, Network Security...	Gurgaon	People First Consultants Pvt Ltd
Asst.Manager QC	Text Mining, Machine Learning, Data Mining, Data Science, Analytics...	Pune	Confidential
Business Analyst	pharmaceutical pricing, pharma pricing, price analytics, pricing analytics,...	Bengaluru	People First Consultants Pvt Ltd
Analytics Manager   -  	financial analysis, financial reporting, management reporting...	Trivandrum	People First Consultants Pvt Ltd
PLSQL Senior Developer	competitive intelligence, ci, company profiling, competitive analysis...	Gurgaon	People First Consultants Pvt Ltd
ODI Developer	Pharma analytics, Commercial analytics, competitive intelligence...	Bengaluru	People First Consultants Pvt Ltd
DotNET Software Engineer	Pricing Analytics, Pricing & Market Access, Pricing & Rebates, Pricing...	Bengaluru	People First Consultants Pvt Ltd
Software Engineer - Entry Level	digital marketing, sem, ppc, google analytics, social media...	Mumbai	Premium
Cloud Platform and Infrastructure - Backend Engineer	Fraud Analytics, SAS, Retail Analytics, Retail banking, Mortgage, Loan...	Kolkata	Black Turtle India Pvt Ltd
Cloud Platform and Infrastructure - Backend Engineer	Operations, Risk Analytics, Customer Service, Quality Management...	Dehradun	V- Konnect Associates
Backend Java Software Engineer	Machine Learning SAS, Python, R, Data Analyst, Machine Learning, ML...	Mumbai	HR CENTRAL
Automation Engineer	sales analytics, competitive intelligence, market analytics...	Gurgaon	People First Consultants Pvt Ltd
Automation Engineer	Data Science, Machine Learning, R, Python, Data Analysis...	Bengaluru	Premium
Back End Developer	sales support, presales, technology solutions, advanced analytics...	Bengaluru	Premium
Wordpress Full Stack Developer	sales analytics, marketing, business development, promotions, bd...	Bengaluru	Premium
FPAG Design Engineer	presales, risk management, rfi, rfp, fraud analytics, risk analytics...	Gurgaon	Premium
Jr Executive Design	adwords, digital marketing, google analytics, brand awareness, advertising,...	Mumbai	Premium
Sr-Associate,-Client-Support-(Investment-Management)	Digital Strategy Consultant, Digital Strategy, CRM, ERP, BI, Analytics...	Noida	Premium
Maintenance Engineer	algorithms, c++, data structures, java, programming, analytics, mathematics...	Delhi NCR	Premium
Production Chemist	Data Structures, Algorithms, C++, Analytics, Programming, Time Series...	Delhi NCR	Premium
AHU Maintenance Engineer	Data Structures, Algorithms, C++, Analytics, Programming, Time Series...	Delhi NCR	Premium
Engineer Rail Track	Django, Python, Javascript, C, Core Java, MongoDB, Solr, Rest, Hadoop...	Delhi NCR, Noida	Premium
Zonal Manager - Chest Freezers	R, Big Data Analytics, Predictive Modeling, Neural Networks, Use Cases...	Mumbai	Premium
Lead Analyst - Proprietary Data and Tools, Implementation	Advanced Analytics, R, Data Analytics, Cpg, SAS, New Projects	Bengaluru	Premium
Senior Analyst - Proprietary Data and Tools	Marketing, Monetization, Product Management, Strategy, Data Analytics...	Pune	Premium
Senior Analyst - GAMMA	SQL Database, Data Analytics, Azure, Azure HD Insight, Hive, Hbase, Spark	Bengaluru	Teamware Solutions (QUANTUM LEAP CONSULTING PVT  LTD)
Lead Analyst - GAMMA	Banking Analytics, Analytics, SAS, Statistics, Consulting...	Gurgaon, Gurugram	Premium
QC ENGINEER	Sales Forecasting, Business Finance, Business Planning, Financial Modelling...	Mumbai	Premium
QC SUPERVISOR	Pricing, Promotion Analytics, SAS, SPSS, Python, Tableau, Microstrategy...	Bengaluru	Premium
Operations Manager	marketing, monetization, product management, strategy, data analytics...	Pune	Premium
Senior Product Manager, Amazon Devices	Data Structures, Algorithms, C++, Analytics, Programming, Time Series...	Delhi NCR	Premium
Production/Quality(mechanical Engg.)	program management, stakeholder management, risk management...	Kochi	EYGBS (India) Private Limited
Business Analysis Advisor	Digital Marketing, Content Marketing, Sales, Social Marketing...	Bengaluru	Premium
Application Developer: Lawson	electromechanical, Analytics, CAD, Simulation, Product design, Prototype...	Bengaluru	Schneider Electric India Pvt. Ltd.
Application Developer: Lawson	risk analytics, sas, credit risk, r, finance, banking, portfolio management...	Delhi	Premium
Business Analyst	banking, analytics, machine learning, team leading, credit cards...	Delhi NCR, Gurgaon	HuQuo Consulting Pvt. Ltd.
Big Data (Hadoop)- Solutions Architect / Technical Architect	finance, segmentation, correlation, financial operations, excel, analytics,...	Delhi NCR, Gurgaon	HuQuo Consulting Pvt. Ltd.
