Job_Name	Skillset	Location	Organization
Senior Manager - Business Intelligence - Seller Business and Experienc	Marketing, Business Development, Strategy, Team Management...	Kanpur	Indian Institute of Technology Kanpur
Power Bi Specialist, Business Intelligence Consultant	SQL Scripting, R, Python, Project Life Cycle, Shell Scripting...	Trivandrum	EYGBS (India) Private Limited
.Net - Con (ref)	Business Analysis, Business Analytics, Data Analysis, Advanced Excel, SQL...	Hyderabad	US Technology International Pvt Ltd
Business Intelligence (BI) Developer, Leading Nbfc, Gurgaon	Oracle, Unix, Oracle DBA, Production support, RMAN, Oracle RAC...	Bengaluru(Marathahalli)	Flipkart Internet Private Limited
Lead Solution Advisor - SAP TRM	Associate, business analytics, competitive intelligence, Research...	Bengaluru	Fidelity Investments
Business Intelligence Developer	Project management, Analytics, Business Analyst, Consulting...	Bengaluru	Confidential
Assistant Manager / Manager - Business Intelligence (analysis)	Oracle, Monitoring, Data management, Business process, Outsourcing...	Chennai	Fidelity Investments
Obiee Consultant	Support, Automation, Business Analyst, Tools, Resourcing, Data analysis...	Bengaluru	Accenture
Business Intelligence	marketing, b2b, strategy, business analysis, consulting, secondary research...	Bengaluru	Fidelity Investments
Peoplesoft Vision	predictive analytics, r, statistical modeling, data mining...	Pune(Baner)	DIGITALMAIN, INC
BI DW Technical Project Manager	product sales, data visualization, data science, business intelligence...	Chennai	Fidelity Business Service India Private Limited
Urgent Opening for Sales  Manager)- Noida 63	data analysis, data visualization, data mining, business analytics...	Bengaluru	Fidelity Business Service India Private Limited
Site Analytics	sas, r, business analytics, sql, research analysis, product analysis...	Bengaluru	Educational Initiatives Private Limited
Front end Developer	SQL, Advanced Excel, Data Analysis, Tableau, Spotfire, Dashboards, Business...	Delhi NCR, Gurgaon	OLX India Pvt Ltd.
Sr Manager FP&A;	business analysis, business requirement, Requirement Analysis...	Bengaluru	EYGBS (India) Private Limited
Business Development Manager	SAS, Logistic Regression, Predictive Modeling, R, Business Analysis...	Mumbai	TALENTCODE CONSULTING LLP
Business Development Manager - IT ( Artificial Intelligence )	sas programming, logistic regression, predictive modeling...	Delhi NCR, Gurgaon	HuQuo Consulting Pvt. Ltd
Lead Business Intelligence Engineer	excel, fraud analytics, business analysis, sas, customer service, strategic...	Gurgaon	HuQuo
Manager Business Intelligence	data analysis, data analyst, reporting analyst, Data mining, Data collation...	Bengaluru, Gurgaon	HuQuo
Data Infrastructure and Business Intelligence Consultant	Power Bi, MySQL, power business intelligence, data analytics...	Bengaluru	River Business Solutions Private Limited
Immediate Hiring for Business Intelligence	Accounting, Finance, Taxation, Financial Planning, Financial Analytics, MIS...	Gurgaon	Adglobal360 India Private Limited
IT Field Sales Professional for Business Intelligence Solutions	Marketing Campaigns, Digital Marketing, Strategy, ROI, General Management...	Mumbai	LUPIN LIMITED
Business Intelligence & Analytics Manager	business analysis, business analytics, business finance...	Mumbai	Lodha Developers Pvt Ltd
Big Data & BI DW Leader for a UK Based MNC	Financial Analysis, Business Analysis, Business Analytics...	Mumbai	Confidential
Business Intelligence / Data Warehousing Tools-ab Inito - Senior Softw	Spark, Hive, Flume, Mapreduce, Sqoop, Hdfs, Big Data, Product Development...	Delhi	Leading Company in Aviation Industry
Business Intelligence / Data Warehousing Tools - Sr. Software Engineer	SQL, Advanced Analytics, Managed Services, Business Analytics...	Hyderabad(Madhapur)	SureIT Solutions India Pvt. Ltd.
Business Intelligence / Data Warehousing Tools-cognoss - Senior Softwa	business development, branding, strategy, strategic management...	Nagpur	InfoCepts Technologies Pvt. Ltd
Business Intelligence / Data Warehousing Tools-cognoss-senior Software	data analysis, statistical modeling, business analytics, sql, data mining...	Mumbai	Talent Connector
Head - Business Intelligence & Analytics - NBFC	data analysis, reporting tools, analysis, data mining, business analytics...	Pune	Infosys BPM Limited
Business Intelligence Specialist - Wealth Management	SAS, Logistic Regression, Predictive Modeling, R, Business Analysis...	Mumbai	Skan Consultancy Pvt. Ltd.
Lead Qlikview Developer - Business Intelligence & Data Warehousing	Logistic Regression, Predictive Modeling, SAS, Business Analysis, Analytics...	Delhi NCR	HuQuo Consulting Pvt. Ltd.
Lead - Tableau Developer - Business Intelligence Tools	business analysis, analytics, business intelligence, business strategy, big...	Gurgaon	HuQuo
ETL Developer - Business Intelligence Projects	data analytics, business intelligence, business growth...	Chennai	NTT Data Global Delivery Services Pvt Ltd
Cognos Lead - Business Objects/business Intelligence	technology management, it management, agile, technical management...	Mumbai	Cactus Communications Pvt. Ltd.
