Job_Name,Organization,Location,Skillset,Skillset_list
Data Scientist,HireHappi,"Delhi NCR, Bengaluru","r,python,modelling,modeling,visualization,dashboards,tableau","['r', 'python', 'modelling', 'modeling', 'visualization', 'dashboards', 'tableau']"
RPA- Data Scientist / Machine Learning Specialists - Premier Institute,KPMG,Bengaluru,"hadoop,naturallanguageprocessing,hive,hdfs,impala,r,python","['hadoop', 'naturallanguageprocessing', 'hive', 'hdfs', 'impala', 'r', 'python']"
Data Scientist,I Mind Your Business,Bengaluru,"datascience,nosql,informationretrieval,machinelearning,python,sql","['datascience', 'nosql', 'informationretrieval', 'machinelearning', 'python', 'sql']"
Machine Learning Data Scientist / Analyst with Bigdata Experience,Freelancer Sindhu,Bengaluru,"predictivemodeling,analytics,datascience,dataanalysis,sql,nosql","['predictivemodeling', 'analytics', 'datascience', 'dataanalysis', 'sql', 'nosql']"
DATA Scientist / R Programmer,Atria BioSciences,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Alappuzha, Noida, Trivandrum","clinicaldata,spss,python,r,sas,tableau,dataanalytics","['clinicaldata', 'spss', 'python', 'r', 'sas', 'tableau', 'dataanalytics']"
Data Scientist - Intelligence Platform - R/python,Big IT,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Coimbatore, Kochi, Vijayawada","python,shellscripting,largescaledata,nosqldatabases","['python', 'shellscripting', 'largescaledata', 'nosqldatabases']"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,HuQuo,"Bengaluru, Gurgaon","hive,datascience,machinelearning,python,r,sql,datamining","['hive', 'datascience', 'machinelearning', 'python', 'r', 'sql', 'datamining']"
Data Scientist - Python - BFS - Iit/dse/iim/nit,HuQuo,"Bengaluru, Gurgaon","python,textmining,datastructures,dataanalyst,datascientist,pyspark","['python', 'textmining', 'datastructures', 'dataanalyst', 'datascientist', 'pyspark']"
Data Scientist - Product,Startup - DataXylo,Bengaluru,"datamining,dataanalysis,datascience,r,clusteranalysis","['datamining', 'dataanalysis', 'datascience', 'r', 'clusteranalysis']"
Senior Data Scientist - Text Mining,Molecular connections,Bengaluru,"machinelearning,naturallanguageprocessing,textmining,r","['machinelearning', 'naturallanguageprocessing', 'textmining', 'r']"
Data Scientist,ThoughtWorks Technologies (India) Pvt Ltd.,"Pune(Yerwada), Bengaluru(4th Block Koramangala), Chennai","naturallanguageprocessing,machinelearning,r,predictivemodeling,data","['naturallanguageprocessing', 'machinelearning', 'r', 'predictivemodeling', 'data']"
Data Scientist/ Developer - IT,Premium,Bengaluru,"datascience,predictiveanalytics,datamining,machinelearning,bigdata","['datascience', 'predictiveanalytics', 'datamining', 'machinelearning', 'bigdata']"
Senior Data Scientist - 2988,Client Of Sampoorna,Bengaluru,datascientist,['datascientist']
Data Scientist/sr.data Scientist/lead,Skoruz Technologies Private Limited,Bengaluru,datascientist,['datascientist']
Data Scientist,Datacogin - Startup,Bengaluru,"machinelearning,poweruser,python,php,datamining","['machinelearning', 'poweruser', 'python', 'php', 'datamining']"
is Hiring for Manager - Data Scientist/ Text Miner,Confidential,Bengaluru,"topicmodelling,sentimentanalysis,textmining,predictivemodelling","['topicmodelling', 'sentimentanalysis', 'textmining', 'predictivemodelling']"
Data Scientist,Meaww - Startup,Bengaluru,"machinelearning,softwaredesign,dataprocessing,dataanalyst","['machinelearning', 'softwaredesign', 'dataprocessing', 'dataanalyst']"
Urgent Opening for DATA Scientist -- Bangalore,Confidential,Bengaluru,"hadoop,neuralnetworks,r,spark,python,artificialintelligence,machine","['hadoop', 'neuralnetworks', 'r', 'spark', 'python', 'artificialintelligence', 'machine']"
Data Scientist - Python - BFS - Iit/dse/iim/nit,HuQuo,"Bengaluru, Gurgaon","python,textmining,datastructures,datascientist,datascience","['python', 'textmining', 'datastructures', 'datascientist', 'datascience']"
Looking to hire Data Scientist / Lead (NLP / text Mining in ML),Pramata Knowledge Solutions Private Limited,Bengaluru(Adugodi),"textmining,datascience,nlp,python,machinelearning","['textmining', 'datascience', 'nlp', 'python', 'machinelearning']"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,HuQuo,"Bengaluru, Gurgaon","hive,datascience,machinelearning,python,r,sql,datamining","['hive', 'datascience', 'machinelearning', 'python', 'r', 'sql', 'datamining']"
Excellent Opportunity for Data Scientist,Rapidflow apps Software Solutions Private Limited,"Bengaluru, Delhi NCR","deeplearning,neuralnetworks,machinelearning,r,python,analytics","['deeplearning', 'neuralnetworks', 'machinelearning', 'r', 'python', 'analytics']"
