Job_Name,Organization,Location,Skillset,Skillset_list
Senior Business Analyst,Societe Generale Global Solution Centre,Bengaluru,"financialservices,businessanalyst,frontoffice,investmentbanking","['financialservices', 'businessanalyst', 'frontoffice', 'investmentbanking']"
Business Analyst - Banking/retail Analytics,HuQuo,"Delhi NCR, Bengaluru, Gurgaon","retailanalytics,businessanalysis,excel,sas,dataanalytics,vba","['retailanalytics', 'businessanalysis', 'excel', 'sas', 'dataanalytics', 'vba']"
Business Analyst - Analytics Firm,HuQuo,Bengaluru,"sassql,businessanalysis,analytics,r,datamining,strongcommunication","['sassql', 'businessanalysis', 'analytics', 'r', 'datamining', 'strongcommunication']"
Senior Business Analyst - Model Validation - KPO,HuQuo,"Delhi NCR, Bengaluru, Gurgaon","excel,modelvalidation,businessanalysis,dataanalytics,sas,vba","['excel', 'modelvalidation', 'businessanalysis', 'dataanalytics', 'sas', 'vba']"
Senior Business Analyst - Analytics Firm,HuQuo,Bengaluru,"sassql,businessanalysis,analytics,r,datamining,strongcommunication","['sassql', 'businessanalysis', 'analytics', 'r', 'datamining', 'strongcommunication']"
Senior Business Analyst - Sas/r/python - Banking Domain,HuQuo,"Delhi NCR, Bengaluru","sassql,dataextraction,businessanalysis,dataanalysis,analytics,r","['sassql', 'dataextraction', 'businessanalysis', 'dataanalysis', 'analytics', 'r']"
Business Analyst - Sas/r/python - Banking Domain,HuQuo,"Delhi NCR, Bengaluru","machinelearning,sassql,dataextraction,r,modeldevelopment,excel","['machinelearning', 'sassql', 'dataextraction', 'r', 'modeldevelopment', 'excel']"
Business Analyst,Payjo,Bengaluru,"userstories,testscenarios,testdata,uat,businessanalysis","['userstories', 'testscenarios', 'testdata', 'uat', 'businessanalysis']"
Business Solutions Analyst ( BSA ),Confidential,Bengaluru,"usecases,marketingmanagement,requirementanalysis,businesssolutions","['usecases', 'marketingmanagement', 'requirementanalysis', 'businesssolutions']"
Business Analyst - SAS,HuQuo,"Bengaluru, Gurgaon","hive,sql,customersegmentation,advancedexcel,businessanalysis,sas","['hive', 'sql', 'customersegmentation', 'advancedexcel', 'businessanalysis', 'sas']"
Walk-in Interview For Business Analyst on 22nd Feb & 23rd Feb,Concentrix,Bengaluru,"predictiveanalytics,statisticalanalysis,mssql,sas,spss,r,minitab","['predictiveanalytics', 'statisticalanalysis', 'mssql', 'sas', 'spss', 'r', 'minitab']"
Associate - Prod Developement - Client & Service Platform - API - Bana,JPMorgan Chase,Bengaluru,"sap,outbound,projectmanagement,eventmanagement,outsourcing,analytics","['sap', 'outbound', 'projectmanagement', 'eventmanagement', 'outsourcing', 'analytics']"
Associate - Prod Developement - Client & Service Platform,JPMorgan Chase,Bengaluru,"sap,outbound,projectmanagement,eventmanagement,outsourcing,analytics","['sap', 'outbound', 'projectmanagement', 'eventmanagement', 'outsourcing', 'analytics']"
Senior Manager - Analytics,Confidential,Bengaluru,"projectplanning,supplychain,logistics,productplanning","['projectplanning', 'supplychain', 'logistics', 'productplanning']"
ACN - Digital - Analytics Customer Analytics - PRD- 11,Accenture,Bengaluru,"plsql,businessintelligence,algorithms,service,storedprocedures","['plsql', 'businessintelligence', 'algorithms', 'service', 'storedprocedures']"
Lead Data Science Engineer,SlicePay - Startup,Bengaluru,"analytics,datascience,productdevelopment,riskassessment","['analytics', 'datascience', 'productdevelopment', 'riskassessment']"
Google Cloud Platform - Data Engineer,Deloitte,Bengaluru,"networksystemadministration,businessanalysis,businessintelligence","['networksystemadministration', 'businessanalysis', 'businessintelligence']"
Data Sciences Engineer,Gadfly Zone - Startup,Bengaluru,"predictiveanalytics,segmentation,algorithms,machinelearning,r","['predictiveanalytics', 'segmentation', 'algorithms', 'machinelearning', 'r']"
Data Engineer - Hadoop/ Spark,Startup - DataXylo,Bengaluru,"hive,spark,sql,nosql,datascience,hadoop,etl,python","['hive', 'spark', 'sql', 'nosql', 'datascience', 'hadoop', 'etl', 'python']"
Data Engineer for a Fastest Growing Ecommerce Startup,Upgrade HR Consulting Pvt Ltd,Bengaluru,"nosql,postgressql,sqlserver,oracle,redshift,hadoop,spark,etl","['nosql', 'postgressql', 'sqlserver', 'oracle', 'redshift', 'hadoop', 'spark', 'etl']"
Hiring for Data Analyst/ Business Analyst- on Contract,Flipkart Internet Private Limited,Bengaluru(Marathahalli),"businessanalysis,businessanalytics,dataanalysis,advancedexcel,sql","['businessanalysis', 'businessanalytics', 'dataanalysis', 'advancedexcel', 'sql']"
Business Analyst,Zeta - Startup,Bengaluru,"businessanalysis,sqlqueries,businessintelligence,googleanalytics","['businessanalysis', 'sqlqueries', 'businessintelligence', 'googleanalytics']"
Senior Business Analyst - SAS/ R/ Python - Banking Domain,HuQuo,"Bengaluru, Gurgaon, Gurugram","machinelearning,sassql,dataextraction,r,modeldevelopment,excel","['machinelearning', 'sassql', 'dataextraction', 'r', 'modeldevelopment', 'excel']"
Assistant Manager/manager - Business Analyst/sas - Consulting Firm,HuQuo,"Bengaluru, Gurgaon, Gurugram","businessanalyst,sas,advanceexcel,sql,hadoop,hive,datamanagement","['businessanalyst', 'sas', 'advanceexcel', 'sql', 'hadoop', 'hive', 'datamanagement']"
Business Analyst - Sas/r/python - Banking Domain,HuQuo,"Bengaluru, Gurgaon","machinelearning,sassql,dataextraction,r,modeldevelopment,excel","['machinelearning', 'sassql', 'dataextraction', 'r', 'modeldevelopment', 'excel']"
Business Analyst / Senior Business Analyst,Fidelity Business Service India Private Limited,Bengaluru,"riskmitigation,controltesting,stakeholdermanagement,riskmanagement","['riskmitigation', 'controltesting', 'stakeholdermanagement', 'riskmanagement']"
Business Analyst,Aptean India Private Limited,Bengaluru,"sales,operations,servicelevel,clientservicing,customerservice","['sales', 'operations', 'servicelevel', 'clientservicing', 'customerservice']"
Business Analyst COA BSA -qliksense 7-10yrs Bangalore,Lyncis Technologies India Pvt Ltd,Bengaluru,"requirementgathering,businessprocessanalysis,datawarehousing","['requirementgathering', 'businessprocessanalysis', 'datawarehousing']"
Hiring !!!!!! Business Analyst for Reputed Company in Bangalore,V3 Staffing Solutions India Pvt. Ltd,Bengaluru(Indira Nagar),"businessanalysis,businessintelligence,dataanalytics,datamodeling","['businessanalysis', 'businessintelligence', 'dataanalytics', 'datamodeling']"
Business Analyst,ManpowerGroup Services India Private Limited,Bengaluru,"machinelearning,businessanalysis,dataanalysis,r,businessanalytics","['machinelearning', 'businessanalysis', 'dataanalysis', 'r', 'businessanalytics']"
NLP / Chatbot Engineer,BigApp Technologies,Bengaluru,"nlp,python,speechrecognition,chatbot,naturallanguageprocessing","['nlp', 'python', 'speechrecognition', 'chatbot', 'naturallanguageprocessing']"
Data Engineer,Lithium Technologies India RD Private Limited,Bengaluru,"softwaredevelopment,scalability,elasticsearch,dataengineer","['softwaredevelopment', 'scalability', 'elasticsearch', 'dataengineer']"
Data and Operational Analytics Engineer,DNV GL,Bengaluru,"outbound,artificialintelligence,r,safetytraining","['outbound', 'artificialintelligence', 'r', 'safetytraining']"
Business Analyst,Aptean,Bengaluru,"databasedesign,testplanning,productmanagement,datamanagement,impact","['databasedesign', 'testplanning', 'productmanagement', 'datamanagement', 'impact']"
Data Science Engineer-iit/nit,AlgonoX Technologies,"Hyderabad, Bengaluru","nlp,machinelearning,java,python,datascience,algorithms,nodejs","['nlp', 'machinelearning', 'java', 'python', 'datascience', 'algorithms', 'nodejs']"
Senior Business Analyst,Aptean,Bengaluru,"databasedesign,businessanalyst,testplanning,productmanagement","['databasedesign', 'businessanalyst', 'testplanning', 'productmanagement']"
Senior Business Analyst - Sas/r/python - Banking Domain,HuQuo,"Bengaluru, Gurgaon","sassql,dataextraction,businessanalysis,dataanalysis,analytics,r","['sassql', 'dataextraction', 'businessanalysis', 'dataanalysis', 'analytics', 'r']"
Business Analyst,Blackbuck,Bengaluru,"businessanalysis,sqlqueries,excel,dataanalysis,productmanagement","['businessanalysis', 'sqlqueries', 'excel', 'dataanalysis', 'productmanagement']"
Assistant Manager/ Manager - Business Analyst/sas - Consulting Firm,HuQuo,"Bengaluru, Gurgaon","hive,sql,customersegmentation,advancedexcel,businessanalysis,sas","['hive', 'sql', 'customersegmentation', 'advancedexcel', 'businessanalysis', 'sas']"
Walk in on 15th Feb for Business Analyst with Concentrix Bangalore,Concentrix Daksh Services India Private Limited.,Bengaluru(Whitefield),"predictiveanalytics,mssql,sas,r,businessanalysis,dataanalytics","['predictiveanalytics', 'mssql', 'sas', 'r', 'businessanalysis', 'dataanalytics']"
Business Analyst,Confidential,Bengaluru,"sql,dataanalysis,forecasting,datamining,analytical","['sql', 'dataanalysis', 'forecasting', 'datamining', 'analytical']"
Associate Software Engineer,Real Time Signals Technologies,Bengaluru,"c,java,webdevelopment,javascript,embeddedsystems,php,matlab,python","['c', 'java', 'webdevelopment', 'javascript', 'embeddedsystems', 'php', 'matlab', 'python']"
Business Analyst - Power BI / Tableau / ETL,TE Connectivity,Bengaluru,"powerbi,sqlserver,dataintegration,etl,dataquality,tableau","['powerbi', 'sqlserver', 'dataintegration', 'etl', 'dataquality', 'tableau']"
Data Warehouse Engineer,GROUPON SHARED SERVICES PVT LTD,Bengaluru(Whitefield),"spark,hive,bigdataanalytics,sql,oracle,etl,unix","['spark', 'hive', 'bigdataanalytics', 'sql', 'oracle', 'etl', 'unix']"
Team Lead/ Senior Game Developer,iFuture Robotics Private Limited,Bengaluru,"c,sqlserver,net,winforms,windowsapplication","['c', 'sqlserver', 'net', 'winforms', 'windowsapplication']"
Data Analyst / Business Analyst,METARAIN DISTRIBUTORS PVT LTD,Bengaluru(Ulsoor),"dataanalysis,businessanalysis,performancemonitoring,python,sql","['dataanalysis', 'businessanalysis', 'performancemonitoring', 'python', 'sql']"
"Business Analyst, IT Business Analyst, Senior Business Analyst",Antomech Technologies India Private Limited,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Surat","excel,sas,vba,ba,businessanalytics,businessconsulting","['excel', 'sas', 'vba', 'ba', 'businessanalytics', 'businessconsulting']"
Dsit-t&s-business; Analyst-endur,Shell India Markets Private Limited,Bengaluru,"businessanalysis,tools,analytical,oracle,dataanalysis","['businessanalysis', 'tools', 'analytical', 'oracle', 'dataanalysis']"
Evangelist - Innovation Lab,Corporate Access,Bengaluru,"evangelistinnovationlab,transactionbanking,productmanagement","['evangelistinnovationlab', 'transactionbanking', 'productmanagement']"
Evangelist - Innovation Lab with Large Bank,CORPORATE ACCESS,Bengaluru,"productlaunch,productmanagement,marketing,transactionbanking","['productlaunch', 'productmanagement', 'marketing', 'transactionbanking']"
Evangelist - Innovation Lab with Large Bank,CORPORATE ACCESS,Bengaluru,"productlaunch,productmanagement,marketing,transactionbanking","['productlaunch', 'productmanagement', 'marketing', 'transactionbanking']"
Analytics Manager - Data Science,BMS Innolabs Software Pvt. Ltd,Bengaluru,"datascience,businessdevelopment,requirementgathering,solutiondesign,","['datascience', 'businessdevelopment', 'requirementgathering', 'solutiondesign', '']"
Urgent Opening with Kpmg-bangalore for Big data Manager Position,KPMG,Bengaluru,"corejava,sql,scala,bigdata,apachepig","['corejava', 'sql', 'scala', 'bigdata', 'apachepig']"
Application Developer: Full Stack,Rolls Royce India Private Ltd.,Bengaluru,"networking,analytical,windows,networksecurity,middleware,soa,linux","['networking', 'analytical', 'windows', 'networksecurity', 'middleware', 'soa', 'linux']"
Application Developer: Security and Infrastructure,Rolls Royce India Private Ltd.,Bengaluru,"assurance,evaluation,costreduction,security,infrastructuresecurity","['assurance', 'evaluation', 'costreduction', 'security', 'infrastructuresecurity']"
Machine Learning Developer/ Senior Developer Expert,SAP Labs India Pvt. Ltd.,Bengaluru,"deeplearning,python,algorithms,c,java,machinelearning","['deeplearning', 'python', 'algorithms', 'c', 'java', 'machinelearning']"
Software Engineering - Big Data,JPMorgan Chase,Bengaluru,"technical,sql,python,datastructures,workflow,algorithms","['technical', 'sql', 'python', 'datastructures', 'workflow', 'algorithms']"
Data Engineer,Globex Digital Solutions Pvt. Ltd,Bengaluru,"dataengineer,dataseniorengineer,machinelearning,python","['dataengineer', 'dataseniorengineer', 'machinelearning', 'python']"
Data Engineer,Manthan Software Services Pvt. Ltd.,Bengaluru(Lavelle Road),"sqlserver,oracle,etltool,datawarehousing,nosql,queryoptimization","['sqlserver', 'oracle', 'etltool', 'datawarehousing', 'nosql', 'queryoptimization']"
Business Analyst/sr Business Analyst,SUPERIOR TALENT INDIA PRIVATE LIMITED,Bengaluru,"datavisualization,analytics,tableau,r,sql,timeseries","['datavisualization', 'analytics', 'tableau', 'r', 'sql', 'timeseries']"
Dsit-retail-business Analyst,Shell India Markets Private Limited,Bengaluru,"automation,applicationdevelopment,agile,businessanalysis","['automation', 'applicationdevelopment', 'agile', 'businessanalysis']"
Business Processes Associate Consultant - SAP Big Data and Advanced An,SAP Labs India Pvt. Ltd.,Bengaluru,"bex,webintelligence,sapbw,saphana,java,sapbo,sql,sapbi","['bex', 'webintelligence', 'sapbw', 'saphana', 'java', 'sapbo', 'sql', 'sapbi']"
Jobs in Ugam - Fullstack / Technical lead - Bigdata,Ugam Solutions SEZ Private Limited,"Mumbai, Bengaluru, Coimbatore","bigdata,dataanalytics,hadoop,hdfs,hortonworks,spark,kafka,scala","['bigdata', 'dataanalytics', 'hadoop', 'hdfs', 'hortonworks', 'spark', 'kafka', 'scala']"
Opening for DATA Analyst for MNC Company at Bangalore,Switchover Solutions,Bengaluru,"factoranalysis,regressionanalysis,anova,sas,excel,r,teradatasql","['factoranalysis', 'regressionanalysis', 'anova', 'sas', 'excel', 'r', 'teradatasql']"
Business Analysts / Sr.business Analysts,Tredence Analytics Solutions Private Limited,Bengaluru,"businessanalytics,businessresearch,businessanalyst","['businessanalytics', 'businessresearch', 'businessanalyst']"
"Data Model Engineer - Postgresql, Nosql/cassandra exp is must",Technosoft Global Services Pvt Ltd,Bengaluru,"datamodeling,postgresql,postgres,nosql,cassandra,rdbms","['datamodeling', 'postgresql', 'postgres', 'nosql', 'cassandra', 'rdbms']"
Senior Business Analyst || Morgan Stanley,Morgan Stanley Advantage Services Pvt. Ltd.,Bengaluru,"useracceptancetesting,visio,investmentbanking,projectmanagement","['useracceptancetesting', 'visio', 'investmentbanking', 'projectmanagement']"
IT Business Analyst,CME India Technology And Support Services Pvt Ltd,Bengaluru,"principal,datamodeling,physicaldesign,riskmanagement,monitoring","['principal', 'datamodeling', 'physicaldesign', 'riskmanagement', 'monitoring']"
GFIT - Business Analyst -automation,Shell India Markets Private Limited,Bengaluru,"businessanalysis,usecases,stakeholdermanagement,databasedesign","['businessanalysis', 'usecases', 'stakeholdermanagement', 'databasedesign']"
Director,Confidential,Bengaluru,"c,algorithms,python,c,java,datascience,machinelearning,spark","['c', 'algorithms', 'python', 'c', 'java', 'datascience', 'machinelearning', 'spark']"
Machine Learning Engineer,Tipstat-Startup,Bengaluru,"deeplearning,nlp,datascience,machinelearning,datamining,analytics,","['deeplearning', 'nlp', 'datascience', 'machinelearning', 'datamining', 'analytics', '']"
Data Stream Engineer,NTT Data Global Delivery Services Pvt Ltd,Bengaluru,"java,python,hadoop,opensource,cloud,database,dataprocessing,apache","['java', 'python', 'hadoop', 'opensource', 'cloud', 'database', 'dataprocessing', 'apache']"
Data Engineer,Startup - Postman,Bengaluru,"aws,mysql,nodejs,rest,dataquality,dataengineer","['aws', 'mysql', 'nodejs', 'rest', 'dataquality', 'dataengineer']"
Moody Liquidity Business Analyst-bangalore,Luxoft India LLP,Bengaluru,"liquidityrisk,finance,businessanalysis,oracle,datamodeling,tableau,","['liquidityrisk', 'finance', 'businessanalysis', 'oracle', 'datamodeling', 'tableau', '']"
Software Engineering - Big Data,JPMorgan Chase,Bengaluru,"technical,sql,python,datastructures,workflow,algorithms","['technical', 'sql', 'python', 'datastructures', 'workflow', 'algorithms']"
Data Science Research Manager- Iit/nit,Accenture,Bengaluru,"service,tools,consulting,procurement,sql,python,realestate","['service', 'tools', 'consulting', 'procurement', 'sql', 'python', 'realestate']"
Software Engineer,Namdhari Seeds Private Ltd.,Bengaluru(Bidadi),"itsoftware,itsoftwareengineer","['itsoftware', 'itsoftwareengineer']"
Google Cloud Platform - Data Architect,Deloitte,Bengaluru,"networksystemadministration,businessanalysis,businessintelligence","['networksystemadministration', 'businessanalysis', 'businessintelligence']"
Google Cloud Platform - Data Architect,Deloitte,Bengaluru,networksystemadministration,['networksystemadministration']
DSIT - T&S; - Technical Business Analyst - Aligne,Shell India Markets Private Limited,Bengaluru,"riskmanagement,dataanalysis,businessanalyst,datamanagement,business","['riskmanagement', 'dataanalysis', 'businessanalyst', 'datamanagement', 'business']"
Lead Datascience,Startup - Tookitaki,Bengaluru,"r,sql,python,predictiveanalytics,operationalrisk,creditrisk","['r', 'sql', 'python', 'predictiveanalytics', 'operationalrisk', 'creditrisk']"
Senior Associate - Data Science,Sapient,"Gurgaon, Bangalore","datascience,machinelearning,deeplearning,python,r,","['datascience', 'machinelearning', 'deeplearning', 'python', 'r', '']"
Specialist â€“ Data Science,Sapient,"Gurgaon, Bangalore","datascience,machinelearning,deeplearning,python,r,","['datascience', 'machinelearning', 'deeplearning', 'python', 'r', '']"
Technical Lead - iOS,CollPoll - Startup,"Chennai, Bengaluru","ios,objectivec,cocoatouch,productmarketing,mobileapplications","['ios', 'objectivec', 'cocoatouch', 'productmarketing', 'mobileapplications']"
Senior Manager - Analytics,Swiggy,Bengaluru,"textmining,machinelearning,hadoop,r,hive,datamining,python,spark,","['textmining', 'machinelearning', 'hadoop', 'r', 'hive', 'datamining', 'python', 'spark', '']"
Data Engineer/technology Leader - Etl/machine Learning - Tier I,The Modern Dimension,Bengaluru,"spark,hadoop,bigdata,cassandra,scala,sql,mongodb,machinelearning","['spark', 'hadoop', 'bigdata', 'cassandra', 'scala', 'sql', 'mongodb', 'machinelearning']"
Specialist - Data Science,Sapient Consulting Pvt. Ltd,"Bengaluru, Gurgaon","deeplearning,r,datascience,linearregression,sqlqueries","['deeplearning', 'r', 'datascience', 'linearregression', 'sqlqueries']"
Data Engineer/technology Leader - Etl/machine Learning - Tier I,The Modern Dimension,Bengaluru,"spark,hadoop,bigdata,cassandra,scala,datascience,sql,mongodb","['spark', 'hadoop', 'bigdata', 'cassandra', 'scala', 'datascience', 'sql', 'mongodb']"
SAP Big Data and Advanced Analytics Senior Consultant,SAP Labs India Pvt. Ltd.,Bengaluru,"hadoop,hive,mapreduce,java,sql,hbase,bi,hana,bigdataanalytics","['hadoop', 'hive', 'mapreduce', 'java', 'sql', 'hbase', 'bi', 'hana', 'bigdataanalytics']"
Product Director,FlyNava Technologies - Startup,Bengaluru,"globalmarketing,salesoperations,competitiveanalysis,marketresearch","['globalmarketing', 'salesoperations', 'competitiveanalysis', 'marketresearch']"
Senior Manager - Analytics,Swiggy,Bengaluru,"textmining,machinelearning,hadoop,predictiveanalytics,r,hive","['textmining', 'machinelearning', 'hadoop', 'predictiveanalytics', 'r', 'hive']"
Practice Leader Analytics Services,Infiniti Research Marketing Solutions India  Private Limited,Bengaluru,"marketinganalytics,customeranalytics,advanceanalytics","['marketinganalytics', 'customeranalytics', 'advanceanalytics']"
Digital Data Architect Manager,EYGBS (India) Private Limited,Bengaluru,"hadoop,hive,flume,oozie,sqoop,hdfs,mapreduce,impala,spark,cloudera","['hadoop', 'hive', 'flume', 'oozie', 'sqoop', 'hdfs', 'mapreduce', 'impala', 'spark', 'cloudera']"
Project Manager Analytics Services,Infiniti Research Marketing Solutions India  Private Limited,Bengaluru,"marketinganalytics,customeranalytics,advanceanalytics","['marketinganalytics', 'customeranalytics', 'advanceanalytics']"
Data Stream Engineer,Software Data India Ltd.,Bengaluru,"apachekafka,kafkastreams","['apachekafka', 'kafkastreams']"
Data Engineer,Apple Pie Consulting & Hr Services,Bengaluru,"dataanalysis,datamining,machinelearning,statisticalanalysis","['dataanalysis', 'datamining', 'machinelearning', 'statisticalanalysis']"
Business Analyst/senior Business Analyst - Ecommerce,Premium,Bengaluru,"businessprocessanalysis,customersegmentation,businessmodeling","['businessprocessanalysis', 'customersegmentation', 'businessmodeling']"
Data Analytics Engineer - SQL / R / SAS - CRM Domain,SUPERIOR TALENT INDIA PRIVATE LIMITED,Bengaluru,"dataanalyticsengineer,dataanalytics,crmanalytics,crm,sas,sql,r","['dataanalyticsengineer', 'dataanalytics', 'crmanalytics', 'crm', 'sas', 'sql', 'r']"
Assistant Manager/ Manager - Business Analyst/sas - Consulting Firm,HuQuo Consulting Pvt. Ltd.,"Bengaluru, Gurgaon, Gurugram","hive,sql,customersegmentation,advancedexcel,businessanalysis,sas","['hive', 'sql', 'customersegmentation', 'advancedexcel', 'businessanalysis', 'sas']"
Business Analyst - SAS - Retail & Banking,HuQuo Consulting Pvt. Ltd.,"Bengaluru, Gurgaon, Gurugram","hive,sql,customersegmentation,advancedexcel,businessanalysis,sas","['hive', 'sql', 'customersegmentation', 'advancedexcel', 'businessanalysis', 'sas']"
Business Analyst - Data Analytics - Ecommerce,Premium,Bengaluru,"salesforecasting,businessanalysis,dataanalytics,dataanalysis","['salesforecasting', 'businessanalysis', 'dataanalytics', 'dataanalysis']"
"Business Analyst / Senior Business Analyst, Guindy, Chennai",Creative Hands HR Consultancy,"Chennai, Bengaluru, Hyderabad","businessanalysis,wireframing,visio,msoffice,processmapping,business","['businessanalysis', 'wireframing', 'visio', 'msoffice', 'processmapping', 'business']"
Business Analyst,A Techrays Engineering Private Limited,Bengaluru,"advancedexcel,vba,dataanalysis,businessanalysis,dashboards","['advancedexcel', 'vba', 'dataanalysis', 'businessanalysis', 'dashboards']"
Sr.business Analyst // IT MNC // Bangalore,Varite India Pvt. Ltd.,Bengaluru,"tableau,excel,businessanalysis,msofficeword,sqlserver,datamining,","['tableau', 'excel', 'businessanalysis', 'msofficeword', 'sqlserver', 'datamining', '']"
Business Analyst - KPO,Premium,Bengaluru,"sql,excel,businessanalysis,r,statistics,sas,datamanagement","['sql', 'excel', 'businessanalysis', 'r', 'statistics', 'sas', 'datamanagement']"
Visualization Lead,Confidential,Bengaluru,"sql,microstrategy,performancetuning,tools,scheduling","['sql', 'microstrategy', 'performancetuning', 'tools', 'scheduling']"
Lead - Analytics,Confidential,Bengaluru,"analytics,dataanalysis,python,visualization,algorithms,textmining","['analytics', 'dataanalysis', 'python', 'visualization', 'algorithms', 'textmining']"
Senior Data Scientist,Yoodle,Bengaluru,"datamining,computerscience,financialservices,machinelearning","['datamining', 'computerscience', 'financialservices', 'machinelearning']"
PRINCIPLE DATA SCIENTIST,Nestor Sourcing Inc,Bengaluru,"basic,compensation,time,education,open,principal","['basic', 'compensation', 'time', 'education', 'open', 'principal']"
Data Scientist,BrainToSoul Consulting,Bengaluru,"algorithms,itservices,datamining,analytical,bigdata,level,support,","['algorithms', 'itservices', 'datamining', 'analytical', 'bigdata', 'level', 'support', '']"
"Data Engineer - Python, Scala",Premium,"Bengaluru, Chennai","java,scala,bigdata,hadoop,python,datascience,linux,unix,rdbms","['java', 'scala', 'bigdata', 'hadoop', 'python', 'datascience', 'linux', 'unix', 'rdbms']"
Senior Business Analyst- IT  -logistics Company- Bangalore,Sapwood Ventures Pvt. Ltd.,Bengaluru,"logistics,pl,supplychainmanagement,operations,jda,businessanalysis","['logistics', 'pl', 'supplychainmanagement', 'operations', 'jda', 'businessanalysis']"
Business Analyst,Mancer Consulting Services Pvt. Ltd.,Bengaluru,"businessanalysis,dataanalysis,financialmodelling,businessmanagement,","['businessanalysis', 'dataanalysis', 'financialmodelling', 'businessmanagement', '']"
Business Analyst,Mancer Consulting Services Pvt. Ltd.,Bengaluru,"businessanalysis,dataanalysis,financialmodelling,businessmanagement,","['businessanalysis', 'dataanalysis', 'financialmodelling', 'businessmanagement', '']"
Business Solutions Analyst - Textile,Premium,Bengaluru,"businessresearchanalysis,businesssolutions,projectexecution","['businessresearchanalysis', 'businesssolutions', 'projectexecution']"
Opportunity for B.E/ B.tech Freshers for IT Industries (bangalore),Lumbini Elite Solutions  Services Pvt Ltd,Bengaluru,"btechfresher,cs,it,me,ee,ece,eee,civil,bcom,mba,sas,python","['btechfresher', 'cs', 'it', 'me', 'ee', 'ece', 'eee', 'civil', 'bcom', 'mba', 'sas', 'python']"
Business Analyst - Data Visualization,Premium,Bengaluru,"businessanalysis,businessanalytics,dataanalysis,datavisualization","['businessanalysis', 'businessanalytics', 'dataanalysis', 'datavisualization']"
Analytics Engineer - Data Strategy,Premium,Bengaluru,"dataanalysis,analyticsengineer,analytics,datastrategy","['dataanalysis', 'analyticsengineer', 'analytics', 'datastrategy']"
Lead Data Engineer,Premium,"Delhi NCR, Bengaluru, Hyderabad, Chennai","textmining,java,machinelearning,python,r,datamining,spark,hadoop,","['textmining', 'java', 'machinelearning', 'python', 'r', 'datamining', 'spark', 'hadoop', '']"
Data Analytics Engineer - SQL / R / SAS - CRM Domain,Premium,Bengaluru,"segmentation,sql,dataanalytics,teammanagement,dataanalysis","['segmentation', 'sql', 'dataanalytics', 'teammanagement', 'dataanalysis']"
Data Engineer,Client Of Sampoorna,Bengaluru,"spark,bigdata,nosql,hadoop,sql,python,dataingestion","['spark', 'bigdata', 'nosql', 'hadoop', 'sql', 'python', 'dataingestion']"
Business Analyst/senior Business Analyst - Data Analytics - KPO,Premium,Bengaluru,"dataquality,businessanalysis,dataanalytics,dataanalysis,presales","['dataquality', 'businessanalysis', 'dataanalytics', 'dataanalysis', 'presales']"
Business Analyst / Sr Business Analyst (data Analytics),Premium,Bengaluru,"sql,timeseries,datavisualization,dataquality,dataanalytics,tableau","['sql', 'timeseries', 'datavisualization', 'dataquality', 'dataanalytics', 'tableau']"
Senior Hadoop Devops Engineer,Lithium Technologies India RD Private Limited,Bengaluru,"spark,hadoop,devopsengineer,seniordevopsengineer","['spark', 'hadoop', 'devopsengineer', 'seniordevopsengineer']"
Data Engineer - Big Data,Educational Initiatives Pvt. Ltd,Bengaluru,"bigdata,datacollection,datamanagement,managementsystems,nosql,sql,","['bigdata', 'datacollection', 'datamanagement', 'managementsystems', 'nosql', 'sql', '']"
Data Analyst & Visualizer,Educational Initiatives Pvt. Ltd,Bengaluru,"dataanalysis,datavisualization,datamining,businessanalytics","['dataanalysis', 'datavisualization', 'datamining', 'businessanalytics']"
Opening for ''advance Business Analyst '' with Pharma co.,Pharma Focus,Bengaluru,"businessanalyst,marketintelligence,roi,returnoninvestment","['businessanalyst', 'marketintelligence', 'roi', 'returnoninvestment']"
Senior Science Analyst,Confidential,Bengaluru,"sql,linux,shellscripting,python,sas,matlab,analytics,healthcare","['sql', 'linux', 'shellscripting', 'python', 'sas', 'matlab', 'analytics', 'healthcare']"
Senior Data Scientist,Yodlee Infotech Private Limited,Bengaluru,"datamining,computerscience,financialservices,machinelearning","['datamining', 'computerscience', 'financialservices', 'machinelearning']"
Data Engineer - BI/ ETL/ Redshift,Premium,Bengaluru,"sqltuning,etl,datamodeling,dataquality,datawarehousing","['sqltuning', 'etl', 'datamodeling', 'dataquality', 'datawarehousing']"
Data Engineer - BI / DW / SQL / ETL,Premium,Bengaluru,"dataengineer,etldevelopment,redshift,sql,olap,bi,sqltuning,java","['dataengineer', 'etldevelopment', 'redshift', 'sql', 'olap', 'bi', 'sqltuning', 'java']"
Data Engineer - Oops/java,Premium,Bengaluru,"sql,bigdata,oracle,java,unixshellscripting,hadoop,vertica","['sql', 'bigdata', 'oracle', 'java', 'unixshellscripting', 'hadoop', 'vertica']"
Data Engineer -  Hadoop Stack,Premium,"Chennai, Bengaluru","datascience,computerscience,dataprocessing,bigdatahadoopstack","['datascience', 'computerscience', 'dataprocessing', 'bigdatahadoopstack']"
