,Links,job description
19,https://www.naukri.com/job-listings-Senior-Manager-BBPS-business-Development-National-Payments-Corporation-of-India-society-Delhi-9-to-12-years-140318005094?src=jobsearchDesk&sid=15210486586452&xp=20&px=1,"['Marketing Initiatives', 'Business Development', 'Promotions', 'Events', 'Conferences', 'Outlet', 'Operations', 'Senior Management', 'Pressure Handling']"
20,https://www.naukri.com/job-listings-Assistant-Business-Manager-IMMUNOSHOP-INDIA-PVT-LTD-Delhi-NCR-Mumbai-Bengaluru-Chennai-Kolkata-Agra-Chandigarh-2-to-7-years-130318008783?src=jobsearchDesk&sid=15210486586452&xp=21&px=1,"['sales', 'biotechnology', 'microbiology', 'biochemistry', 'channel partners', 'channel partner management', 'business management', 'customer relationship', 'relationship building', 'cold calling', 'immunology', 'elisa']"
21,https://www.naukri.com/job-listings-Area-Business-Manager-Muthoot-Finance-Ltd-Kolkata-Delhi-Mumbai-5-to-10-years-130318001826?src=jobsearchDesk&sid=15210486586452&xp=22&px=1,"['Area Sales', 'Business Development', 'Banking', 'Retail Sales', 'Team Handling', 'Wealth Management', 'Business Management', 'Financial Services', 'Retail Business', 'Communication Skills']"
22,https://www.naukri.com/job-listings-Manager-Sales-Business-Development-Consumer-Durables-Electrical-Bengaluru-Chennai-Delhi-NCR-Hyderabad-Mumbai-Kochi-Kerala-2-to-7-years-130318900090?src=jobsearchDesk&sid=15210486586452&xp=23&px=1,"['channel sales', 'business development', 'consumer durables', 'channel partners', 'sales management', 'btl', 'exhibitions', 'strategy', 'Sales']"
23,https://www.naukri.com/job-listings-Therapy-Business-Manager-Only-Female-Abbott-Healthcare-Pvt-Ltd-Delhi-NCR-0-to-5-years-060318004261?src=jobsearchDesk&sid=15210486586452&xp=24&px=1,"['pharma', 'pharma sales', 'Pharmaceutical Sales', 'Pharma Selling', 'MR', 'territory business manager']"
24,https://www.naukri.com/job-listings-Sr-Business-Development-Manager-BDM-Team-Lead-for-US-Recruitment-The-Navigators-Noida-Delhi-3-to-5-years-150317001586?src=jobsearchDesk&sid=15210486586452&xp=25&px=1,"['US Recruitment', 'Business Development Management', 'Sales', 'Bdm', 'Lead Generation', 'Cold Calling', 'US Staffing', 'IT Staffing', 'Team Leading', 'IT Services']"
25,https://www.naukri.com/job-listings-Business-Development-Manager-Institutional-Sales-Anjani-Technoplast-Ltd-Greater-Noida-5-to-10-years-251117002550?src=jobsearchDesk&sid=15210486586452&xp=26&px=1,"['Corporate Sales', 'New Client Acquisition', 'Sales Strategy', 'Target Achievement', 'Team Development', 'Sales Executive', 'sales officer', 'marketing officer', 'business development officer', 'business development executive']"
26,https://www.naukri.com/job-listings-Business-Development-Manager-Netedge-Computing-Solutions-Pvt-Ltd-Noida-2-to-5-years-140318005179?src=jobsearchDesk&sid=15210486586452&xp=27&px=1,"['corporate sales', 'Business Development Manager', 'sales manager', 'marketing manager', 'marketing head']"
27,https://www.naukri.com/job-listings-Business-Development-Operations-Manager-Egovernance-Sahaj-e-village-Limited-Noida-Sector-57-Noida-7-to-10-years-140318001888?src=jobsearchDesk&sid=15210486586452&xp=28&px=1,"['business development management', 'marketing', 'new business', 'client relationships']"
28,https://www.naukri.com/job-listings-Required-Business-Development-Manager-Om-Sai-Management-Consulting-Services-Gurgaon-Palam-Vihar-1-to-5-years-140318007012?src=jobsearchDesk&sid=15210486586452&xp=29&px=1,['business development management']
29,https://www.naukri.com/job-listings-Business-Development-Manager-corporate-Sales-Red-Lemon-Mumbai-Gurgaon-Noida-1-to-6-years-280118000713?src=jobsearchDesk&sid=15210486586452&xp=30&px=1,"['business development management', 'corporate sales', 'web sales', 'web designing', 'Digital Sales', 'domestic sales', 'Lead Generation', 'team lead', 'Client Acquisition', 'client communication', 'client meeting']"
30,https://www.naukri.com/job-listings-Business-Development-Manager-OVN-Trading-Engineers-Pvt-Ltd-Delhi-NCR-2-to-7-years-060318000639?src=jobsearchDesk&sid=15210486586452&xp=31&px=1,"['Business Development', 'Business Development Management']"
31,https://www.naukri.com/job-listings-Sales-Business-Development-Manager-Altitude-Software-Delhi-NCR-Mumbai-2-to-6-years-140318003726?src=jobsearchDesk&sid=15210486586452&xp=32&px=1,"['Sales', 'business development', 'lead generation', 'it sales', 'Channel Sales', 'channel sales manager', 'Unified Communications', 'Cisco', 'IVR', 'Call Center', 'Contact Center', 'ip telephony', 'pbx', 'voip', 'sip', 'CTI', 'acd', 'Avaya', 'nortel', 'alcatel', 'Voice Logger', 'CRM']"
32,https://www.naukri.com/job-listings-Area-Business-Manager-Wilshrine-Technologies-Delhi-NCR-4-to-9-years-130318009534?src=jobsearchDesk&sid=15210486586452&xp=33&px=1,"['Pharma Selling', 'Business Management', 'Area Business Manager', 'Dermatologist', 'derma', 'cosmetology', 'Sales']"
33,https://www.naukri.com/job-listings-Regional-Business-Manager-Hospitality-Western-northern-Region-Delhi-NCR-Mumbai-4-to-5-years-130318901432?src=jobsearchDesk&sid=15210486586452&xp=34&px=1,"['Sales', 'Business Development', 'Marketing Operations', 'Strategic Alliances', 'Revenue Generation', 'Advertising', 'Region', 'Strategy', 'Business Management', 'Business Operations', 'Regional Business Manager']"
34,https://www.naukri.com/job-listings-Urgent-Hiring-I-Business-Development-Manager-I-5-Days-Working-Webpix-Consultancy-Services-Pvt-Ltd-Delhi-NCR-4-to-8-years-130318004926?src=jobsearchDesk&sid=15210486586452&xp=35&px=1,"['sales management', 'marketing', 'business development management', 'client retention', 'new business development', 'territory management', 'crm', 'development planning', 'corporate sales', 'key accounts manager']"
35,https://www.naukri.com/job-listings-Business-Development-Managers-All-Levels-ISDC-Projects-India-Pvt-Ltd-Delhi-NCR-Bengaluru-Kochi-1-to-6-years-230218001962?src=jobsearchDesk&sid=15210486586452&xp=36&px=1,"['Sales', 'Marketing', 'Business Development', 'New Business', 'Region', 'Customer Relationship', 'Strategy', 'Product Development', 'Regional Sales Manager', 'Educational Sales', 'Educational Marketing', 'institutional marketing', 'educational selling']"
36,https://www.naukri.com/job-listings-Sales-Business-Development-Manager-Cosmolance-Tech-Pvt-Ltd-Noida-Sector-142-Noida-0-to-5-years-130318002266?src=jobsearchDesk&sid=15210486586452&xp=37&px=1,"['Business Development Management', 'Marketing Initiatives', 'Corporate Sales', 'Lead Generation', 'Cold Calling', 'Online Bidding', 'Sales Strategy', 'New Business', 'Digital Marketing', 'Email Marketing', 'Sales', 'sales marketing']"
37,https://www.naukri.com/job-listings-Business-Development-Manager-Work-from-Home-Ajni-Consulting-Private-Limited-Delhi-Janakpuri-2-to-5-years-190218004191?src=jobsearchDesk&sid=15210486586452&xp=38&px=1,"['Sales', 'Cold Calling', 'business development', 'Talent Acquisition', 'Client Meeting']"
38,https://www.naukri.com/job-listings-Business-Development-Manager-preferably-Residing-in-Gurgaon-Unified-Credit-Solutions-Pvt-Ltd-Delhi-NCR-Gurgaon-7-to-10-years-160218002454?src=jobsearchDesk&sid=15210486586452&xp=39&px=1,"['b2b sales', 'new business', 'credit management', 'business development', 'client servicing', 'account manager', 'key account manager', 'key accounts', 'corporate sales', 'sales marketing']"
39,https://www.naukri.com/job-listings-FCS-is-Hiring-Business-Development-Managers-Team-Leads-sales-noida-FCS-Software-Solutions-Limited-Noida-Sector-57-Noida-1-to-6-years-130318006468?src=jobsearchDesk&sid=15210486586452&xp=40&px=1,"['software sales', 'it sales', 'cold calling', 'inside sales', 'client servicing', 'us it staffing', 'software solutions', 'team handling', 'us sales', 'key account manager', 'Business Development', 'Business Development Manager']"
40,https://www.naukri.com/job-listings-Business-Development-Manager-Binary-Semantics-Limited-Gurgaon-2-to-4-years-130318007325?src=jobsearchDesk&sid=15210486586452&xp=41&px=1,"['Business Development Management', 'Software Sales', 'ERP Sales', 'Lead Generation', 'Cold Calling', 'Product Sales', 'Communication Skills', 'sales', 'bde', 'bdm', 'business development']"
41,https://www.naukri.com/job-listings-Business-Development-Manager-scm-3pl-Prowiz-Mansystems-Pvt-Ltd-Delhi-NCR-Sector-58-Noida-5-to-10-years-130318006465?src=jobsearchDesk&sid=15210486586452&xp=42&px=1,"['Sales', 'Business Development Management', '3Pl', 'Supply Chain Management', 'SCM', 'RFQ', 'Go Getter', 'Leadership Skills', 'Communication Skills']"
42,https://www.naukri.com/job-listings-Business-Development-Manager-IT-Artificial-Intelligence-CCS-Computers-Pvt-Ltd-Delhi-NCR-3-to-6-years-130318001469?src=jobsearchDesk&sid=15210486586452&xp=43&px=1,"['Business Development Management', 'RFP', 'RFQ', 'Revenue Generation']"
43,https://www.naukri.com/job-listings-Business-Development-Manager-InvestWell-Startup-Delhi-NCR-3-to-8-years-120318900367?src=jobsearchDesk&sid=15210486586452&xp=44&px=1,"['sales process', 'business development management', 'strategy', 'negotiation', 'financial markets', 'Sales', 'Business Development', 'BDM']"
44,https://www.naukri.com/job-listings-FCS-Hiring-Business-Development-Manager-Noida-FCS-Software-Solutions-Limited-Delhi-NCR-Sector-57-Noida-1-to-6-years-130318009035?src=jobsearchDesk&sid=15210486586452&xp=45&px=1,"['Business Development Management', 'Software Sales', 'Cold Calling', 'Inside Sales', 'Recruitment', 'Client Servicing', 'US IT Staffing', 'Team Leading', 'Night Shift', 'Go Getter']"
45,https://www.naukri.com/job-listings-Business-Banking-Relationship-Manager-CAAC-s-Solutions-Delhi-NCR-Gurgaon-Noida-0-to-4-years-140318004549?src=jobsearchDesk&sid=15210486586452&xp=46&px=1,"['customer relationship manager', 'customer service manager', 'customer support manager', 'phone banking officer', 'back office executive']"
46,https://www.naukri.com/job-listings-Acquisition-Sr-Acquisition-Manager-Business-Banking-Sales-AU-SMALL-FINANCE-BANK-Limited-Surat-Vapi-Kota-Faridabad-2-to-7-years-130318001880?src=jobsearchDesk&sid=15210486586452&xp=47&px=1,"['Accounting', 'Finance', 'Financial Analysis', 'Financial Statements', 'Banking Sales', 'Business Banking']"
47,https://www.naukri.com/job-listings-Looking-for-Business-Development-Manager-for-Delhi-Wow-Jobs-Lc-Wow-Softech-Pvt-Ltd-Delhi-NCR-6-to-10-years-130318006091?src=jobsearchDesk&sid=15210486586452&xp=48&px=1,"['Sales', 'Marketing Intelligence', 'Business Development Management', 'Product Training', 'Market Development', 'CRM', 'Strategy', 'Business Growth', 'Commercial Negotiations', 'Value Added Services']"
48,https://www.naukri.com/job-listings-Credit-Manager-Business-Loans-Finance-CA-Bank-Delhi-NCR-1-to-2-years-120318901580?src=jobsearchDesk&sid=15210486586452&xp=49&px=1,"['Finance', 'Banking', 'Credit Processing', 'Credit Management', 'Ca', 'Communication Skills']"
49,https://www.naukri.com/job-listings-Business-Development-Manager-Bengaluru-Delhi-NCR-Mumbai-Pune-2-to-5-years-130318901427?src=jobsearchDesk&sid=15210486586452&xp=50&px=1,"['business development management', 'sales', 'client acquisition', 'strategic partnerships', 'revenue generation', 'client relationship', 'new business', 'strategy', 'business development manager']"
